year;month;day;hour;NO2;O3;SO2;NO;PM10;PM25
2016;1;1;0;13.1241972887431;44.0379146482428;23.9598112867997;0.174115051830546;24.0799664652513;18.5655668616391
2016;1;1;1;10.9422536890749;47.37991332604;24.182956732583;0.112155764725328;23.3987513809097;18.0881674083366
2016;1;1;2;9.31603721295666;49.2530922713286;22.2163195508394;0.0881276556302339;22.0851070764638;17.2728693570434
2016;1;1;3;8.15381754042638;49.3844218851791;18.8312439194575;0.073402466219389;20.6385948331445;16.4533346946882
2016;1;1;4;7.55040644410866;48.4055320271182;14.8736422239592;0.0671564277933768;19.0883877593251;15.7205803930083
2016;1;1;5;7.39923779778054;46.5082266032368;11.7901081698875;0.0718255506678016;18.1032042689822;15.3493413534989
2016;1;1;6;7.62965046993898;43.9595098100654;10.2861375129543;0.0920070337457375;18.030215542808;15.5675525803645
2016;1;1;7;10.0417995567423;38.9958358937292;11.6796212763879;0.228254828449154;20.1290308865509;17.6319776556966
2016;1;1;8;13.0020099212322;35.2375018053408;9.59161138620351;0.542262895711319;21.6186144541552;19.0971398694728
2016;1;1;9;11.1381700548483;50.3340729096635;9.58256822874434;1.15833859544899;17.0279257361017;15.1447689944462
2016;1;1;10;8.92443119616897;55.7739241457966;7.49994245112107;1.36771945943976;15.2164325584181;13.6003155404296
2016;1;1;11;8.1979776695596;57.8478989154974;6.66154643184514;1.18684557886732;14.430046491043;12.9448736174709
2016;1;1;12;7.78883649737495;58.4888866228539;6.29169392641576;1.27736931589125;14.2045477602437;12.7831834006997
2016;1;1;13;5.15861413496681;65.2696527936314;6.44432738784122;0.801765622582772;12.1060237390225;10.9202753506565
2016;1;1;14;5.31786554456178;65.2128804290442;6.24775036088445;0.783631749127563;12.8585586622876;11.6736238453541
2016;1;1;15;5.24834775172234;63.5366177448304;5.19826841978374;0.675805629246601;13.7768756403034;12.6320660598367
2016;1;1;16;5.45180684111162;60.5502350481402;4.00409095551419;0.552913007703403;12.5654944227449;11.6063851862691
2016;1;1;17;5.87999714777768;56.9949776263456;3.27567644370754;0.408724280522046;10.8924425035184;10.0895460874995
2016;1;1;18;8.47813512617283;46.5697738150084;2.35407890364124;0.363981185175263;11.0227187377632;10.1811643560268
2016;1;1;19;8.79723657422118;43.7347615900308;2.21564816572009;0.289990427071839;11.0587796697814;10.2829176285013
2016;1;1;20;9.63081749467819;40.6711642142454;2.2173652585417;0.267022757465805;11.948252165439;11.1757145759839
2016;1;1;21;9.86191625494668;38.0059042015546;2.13675321567919;0.232985683253759;12.5808643502978;11.8161889162138
2016;1;1;22;9.34131548404124;36.135755721034;2.00223765579896;0.223822951721536;13.0431141442955;12.2841896654791
2016;1;1;23;8.34221495791448;35.6684246582972;2.02387840445995;0.203289882157159;13.2125723695253;12.4400045820039
2016;1;2;0;10.3643739012883;33.8115064835165;2.63946485950994;0.15837809035983;15.6070587564727;14.6952245927423
2016;1;2;1;13.4181350967649;31.4105150778232;3.73660539129957;0.114611761131852;19.7342764352015;18.6497128851215
2016;1;2;2;14.6323437751298;30.4044149856963;4.48839431974945;0.105384390601679;22.6370477918181;21.460127896944
2016;1;2;3;13.9881053415501;30.8554923833526;4.57673930053264;0.100242973038443;24.4504807511703;23.2641408359768
2016;1;2;4;12.5095998994033;31.8150910061377;4.20460630318902;0.100438594473814;24.7120368612741;23.5464607811764
2016;1;2;5;10.4315264732979;34.9325190995842;3.77889018981042;0.102695067398645;23.0647874133183;21.8749267588692
2016;1;2;6;9.39152388744169;37.4256394763961;3.84223763916225;0.124515249870273;21.7549498415792;20.4753511923172
2016;1;2;7;11.2683264036871;38.7985856775686;5.51547414938539;0.265607759532628;23.3287380524416;21.8543618757394
2016;1;2;8;13.7143935468718;35.4617810671698;5.1856262632915;0.59721741268048;23.8467627866612;22.1210072481881
2016;1;2;9;7.88841862024987;45.9033913102758;4.97441837330345;0.911235966151388;16.0958713024684;14.5266874085337
2016;1;2;10;5.72895119913756;48.3920139515703;4.65244024839031;1.3319634948887;13.3605411178905;11.8372369684039
2016;1;2;11;4.2613229707158;50.3617201275119;4.42394571680052;1.26779537270134;12.4950370050669;11.0635092198663
2016;1;2;12;3.94872492469087;49.1813558767262;4.64853945633787;1.21095956758946;12.7544792505319;11.3623652708839
2016;1;2;13;4.23378349587246;48.2454893813156;4.7338799546992;0.932993361150371;12.9875976639937;11.645503228408
2016;1;2;14;4.97040989203941;48.4704543168846;3.54631785596202;0.922332935989293;12.7004522454399;11.6306555497658
2016;1;2;15;5.30589254283427;48.5247042547599;3.59139572541172;0.832203729591316;12.339814503548;11.459538207248
2016;1;2;16;5.91776850594548;47.6260524351346;4.59224051586745;0.673537355010941;12.5427206398854;11.7133209798226
2016;1;2;17;7.19761535267598;45.8565061478566;6.65366916493126;0.441758779736839;13.0586697011381;12.303529750568
2016;1;2;18;9.05029864520091;43.9887628544966;10.5139046139088;0.207902325862052;15.0199586101962;14.2648763912234
2016;1;2;19;10.2586305713261;42.8178630329512;19.6949599039502;0.161836756935469;17.0710006131003;16.2272613124514
2016;1;2;20;10.5665864840618;43.1037143755475;29.2060435304194;0.155317138341516;16.5089932835372;15.8893946888838
2016;1;2;21;10.2538899402389;43.7830642852077;30.0616795932039;0.113750646128775;15.448975432264;15.0108725449627
2016;1;2;22;8.44199747286115;46.70591380318;24.1822061592705;0.110600163344728;14.2353746568347;13.9077487304462
2016;1;2;23;7.57129392111268;49.4471024126142;21.2750205559081;0.0927997115283911;12.6067147832032;12.3976011678906
