year;month;day;hour;NO2;NOx;O3;NO
2016;8;2;13;1.33151322003519;8.27419584998822;102.697799999999;4.52799437215033
2016;8;2;14;1.27153735113015;8.37798678577051;105.838583333333;4.634802533994
2016;8;2;15;1.21805524330334;8.25587073792588;106.669433333333;4.59003970805141
2016;8;2;16;1.50636318565917;8.43712489960306;109.996433333333;4.52021959063181
2016;8;2;17;1.25955725405244;8.26416221359574;112.170183333333;4.56837990823771
2016;8;2;18;0.928081368397815;7.96967209152959;113.203899999999;4.59250189944839
2016;8;2;19;2.22886238128423;9.26972710936005;108.577216666666;4.59202840790301
2016;8;2;20;7.60034321261699;13.9491843662488;90.0280666666666;4.14069294904754
2016;8;2;21;20.7158588303351;26.7530802684508;50.1192016666666;3.93745561366647
2016;8;2;22;20.2508137780987;25.044826310382;46.361385;3.12663892665128
2016;8;2;23;19.6414735714501;24.4872292308371;33.7591683333333;3.1603856209496
2016;8;3;0;21.3048766008868;26.345237673942;-999;3.28730662034514
2016;8;3;1;21.4374325893094;26.2497591220045;29.7755566666666;3.13858325641777
2016;8;3;2;-999;-999;31.4852766666666;-999
2016;8;3;3;15.4095369663428;20.5342433791202;19.1772233333333;3.34231636858444
2016;8;3;4;11.4399960147975;16.898406360844;15.2508349999999;3.55995695686186
2016;8;3;5;12.1508603989958;18.7696550978365;13.1052749999999;4.31675574762255
2016;8;3;6;19.2410028597057;32.7176523095769;7.8733355;8.78942566108227
2016;8;3;7;19.6267238131642;41.8897102106896;6.30582833333333;14.5198452080095
2016;8;3;8;18.9637816329819;45.023552583505;18.8688833333333;16.9960953845723
2016;8;3;9;9.51830908308897;17.7681083836032;52.0475216666666;5.38049148940445
2016;8;3;10;4.74019558263627;11.1743002011267;74.4133333333333;4.19630149542762
2016;8;3;11;3.54003155775167;9.86407691729005;85.6794666666666;4.12452121513827
2016;8;3;12;2.30986415048223;8.75387267885836;101.891149999999;4.20276079230389
2016;8;3;13;2.46317233801301;9.06503191819082;105.822799999999;4.30571071991722
2016;8;3;14;1.75368514714912;8.18979835639873;110.960036363636;4.19761149159742
2016;8;3;15;1.99609451872743;7.43469736141634;102.9114;3.54703856947336
2016;8;3;16;1.55369617368978;7.09466601207949;111.5198;3.61380198141839
2016;8;3;17;1.91906486724271;7.73866976230862;119.277766666666;3.79552683271296
2016;8;3;18;2.31184605360534;8.2345526009135;126.473933333333;3.86276938519523
2016;8;3;19;3.42502151194434;9.37594884101337;130.884733333333;3.8811748845968
2016;8;3;20;4.57383946194081;10.3353941053253;113.593349999999;3.75766665287679
2016;8;3;21;7.47500298301513;12.9199754664274;91.6172499999999;3.55119282783219
2016;8;3;22;11.8654389534558;16.6977353793957;82.4463833333333;3.15160755394718
2016;8;3;23;11.8109894710697;16.7897700675903;79.6633333333333;3.24714403967638
2016;8;4;0;5.70528500146898;10.3490589106703;89.0744333333333;3.02865379956804
2016;8;4;1;5.61284077114224;10.5722621912535;-999;3.23451804962275
2016;8;4;2;3.7200676230829;8.72529655469969;83.8511;3.2643935552961
2016;8;4;3;-999;-999;76.2094333333333;-999
2016;8;4;4;10.0936148181202;14.0268604989812;56.603425;2.56524966738159
2016;8;4;5;10.2209360973033;14.6153139757221;29.1834483333333;2.86599854309005
2016;8;4;6;31.4513155630084;43.3183492977659;9.46860949999999;7.73963967952015
2016;8;4;7;26.2247039145111;59.7498521950156;8.17500333333333;21.8649894904754
2016;8;4;8;28.7786957220359;57.1395965508985;22.5205566666666;18.4968845886985
2016;8;4;9;8.24146554645552;14.4316554709386;86.3038833333333;4.03722114844689
2016;8;4;10;4.25879022776069;10.3608169565919;101.911366666666;3.97972140734963
2016;8;4;11;2.27995733874706;8.53039779140365;109.941066666666;4.07651634124622
2016;8;4;12;1.58038261966081;7.93241306267747;110.06665;4.14277299290887
2016;8;4;13;1.78840510307664;8.24527572078598;112.288866666666;4.21114940391399
2016;8;4;14;1.2442032230248;7.52736999246712;109.559466666666;4.09786033550971
2016;8;4;15;1.09915202047496;7.42327396761358;106.69805;4.12457116531478
2016;8;4;16;0.944302021520585;7.22789898348137;105.885266666666;4.09814090563028
2016;8;4;17;0.83350278094998;7.30440598714908;104.612566666666;4.22030141115601
2016;8;4;18;0.721881966026428;7.23628576192899;103.79885;4.24867235015193
2016;8;4;19;1.29483622190689;7.54700218531474;103.392516666666;4.07764171358242
2016;8;4;20;2.92948125916094;9.01415312098715;97.7427499999999;3.96840262118059
2016;8;4;21;4.10872598614413;9.95388819712632;81.9827666666666;3.81219522860606
2016;8;4;22;4.72689588402461;10.2867942688556;70.1205666666666;3.62614711604822
2016;8;4;23;10.6410820236526;16.680780532541;58.6969616666666;3.9390711509329
2016;8;5;0;12.3344640297452;18.3352555012796;45.0844366666666;3.91369611140343
2016;8;5;1;16.0819412018955;23.2594132514659;23.9089033333333;4.68112324571873
2016;8;5;2;11.7683007180808;18.2895992251786;-999;4.25316905771495
2016;8;5;3;14.2698501189856;20.5410723149133;25.209445;4.09007012464534
2016;8;5;4;-999;-999;38.3066816666666;-999
2016;8;5;5;6.27494101911628;11.8453861598172;39.5343349999999;3.63302567492368
2016;8;5;6;8.41550680646394;14.1538714736639;30.3669499999999;3.7425422280326
2016;8;5;7;7.64357984842536;14.5562679845532;21.3016683333333;4.50843206367752
2016;8;5;8;7.80599219568659;16.0939275587646;34.3694433333333;5.40536370175645
2016;8;5;9;4.91752555835584;11.4369762778772;66.9756116666666;4.25196393684262
2016;8;5;10;2.31795984727186;8.32711454191907;96.5263833333333;3.91915057752357
2016;8;5;11;1.2720223470118;7.67575744455302;107.37085;4.17649459551982
2016;8;5;12;0.803712966469633;7.65375662034887;107.97725;4.46757554204362
2016;8;5;13;0.750929737975271;7.67173185264993;106.861083333333;4.513723973326
2016;8;5;14;0.713024557598499;7.92120682871342;106.617266666666;4.70115234941438
2016;8;5;15;0.869546407056481;7.9402663731123;114.927783333333;4.61149989417971
2016;8;5;16;0.961082242210213;8.07224035998293;122.522783333333;4.63787352137164
2016;8;5;17;0.335677719924117;7.71852319130086;108.147816666666;4.81506710397845
2016;8;5;18;0.598755150619503;8.46964964238413;105.9036;5.13337104143854
2016;8;5;19;2.22173128455331;9.90046666263108;101.332799999999;5.0080455107024
2016;8;5;20;4.26960039434326;11.6716866402369;82.2732666666666;4.82761587271414
2016;8;5;21;4.21839992273441;11.3847173783876;73.3083166666666;4.67384825690353
2016;8;5;22;3.39812121535453;10.200850581808;70.8880666666666;4.43671732215874
2016;8;5;23;2.98681390230317;9.43515425144833;65.8933666666666;4.20558599130963
2016;8;6;0;2.67877494937858;8.9641743840328;65.8288666666666;4.09931647228756
2016;8;6;1;3.31293616427183;9.59137719404132;54.8963916666666;4.09477822391347
2016;8;6;2;3.19828400042298;9.66827195537669;51.9933483333333;4.21970448735736
2016;8;6;3;3.23395636077066;9.39882175092647;-999;4.02070457192694
2016;8;6;4;4.63045239861394;10.8300644640941;44.3605566666666;4.04336623726663
2016;8;6;5;-999;-999;42.52667;-999
2016;8;6;6;7.39010218765222;13.5270482984259;34.8922216666666;4.00249571136754
2016;8;6;7;7.27444263564548;13.8125627167397;29.5841683333333;4.2641400319689
2016;8;6;8;9.12466668486014;15.8161624104078;23.1825;4.36417111389013
2016;8;6;9;5.33168875780702;12.3775193780212;33.4397249999999;4.59526714613344
2016;8;6;10;3.0952795854925;9.99738931541918;50.0677799999999;4.50153286256201
2016;8;6;11;0.98747786131666;7.16383240383674;72.2013833333333;4.0281977586415
2016;8;6;12;0.921916903620129;7.53440952434894;81.0286166666666;4.31264555337281
2016;8;6;13;1.33570138350353;7.81421254262443;83.5566166666666;4.22526329258565
2016;8;6;14;1.0427709766779;7.67602103231837;85.4561;4.32618348294125
2016;8;6;15;1.09677358725172;7.66050279944208;84.5052833333333;4.28084222154884
2016;8;6;16;0.855807042512265;7.42233310729125;84.0677833333333;4.28266631944529
2016;8;6;17;0.440719982535959;7.1660546323181;84.62775;4.3862407470075
2016;8;6;18;0.673493285076986;7.37156153050954;86.4666833333333;4.36845768935899
2016;8;6;19;1.07413131491001;7.49627651667541;87.7302833333333;4.18850160387105
2016;8;6;20;1.48593915711499;7.93552855391042;87.3182666666666;4.20640061600623
2016;8;6;21;3.09608466562558;9.16464364282511;80.3042;3.95789385176141
2016;8;6;22;4.53716751999972;10.4248674993811;70.4655833333333;3.83993821877021
2016;8;6;23;4.18711648951122;9.48411329636433;65.2713666666666;3.45468358689635
2016;8;7;0;3.86451273618709;9.18731781816875;69.552505;3.47151565754767
2016;8;7;1;8.25847379413815;13.5117328741458;48.2658166666666;3.42615798785016
2016;8;7;2;10.3962734842511;15.8416639073185;41.9744483333333;3.55146540667622
2016;8;7;3;8.6222697087153;13.7524216882949;39.6611133333333;3.34586794902501
2016;8;7;4;9.68092176079809;14.8241471000343;-999;3.3543943504328
2016;8;7;5;8.90996820393307;14.1266154219062;35.8423916666666;3.40227985398142
2016;8;7;6;-999;-999;42.024165;-999
2016;8;7;7;4.9157901318613;10.2876004273737;55.3955366666666;3.5034766937782
2016;8;7;8;2.73541217199982;8.81788011575551;66.1914;3.96696523319213
2016;8;7;9;1.26889519968913;7.20244604198104;74.0739166666666;3.86984199808473
2016;8;7;10;1.1688224349201;7.27475381532573;79.8556;3.98226800803651
2016;8;7;11;0.871017413485288;7.33220001258785;85.77275;4.21396166374524
2016;8;7;12;0.534095945926302;7.20370045314369;89.97615;4.34989373457117
2016;8;7;13;0.423491744353462;7.03141603836167;92.1730333333333;4.30966610597711
2016;8;7;14;0.630354517666397;7.44372784706105;95.62415;4.44365927916063
2016;8;7;15;0.487094615241527;7.21901015900612;100.362233333333;4.39053278403475
2016;8;7;16;0.403429534128109;6.99536572915962;101.8008;4.29923872134116
2016;8;7;17;0.463468876505207;7.21149050664106;102.595683333333;4.40103711965451
2016;8;7;18;0.353342423769204;7.4789289251732;103.332249999999;4.64728366488012
2016;8;7;19;0.603070049437111;7.5350299383982;103.073883333333;4.5210010363674
2016;8;7;20;1.81236932255907;8.42552505238138;97.7630833333333;4.31307803090398
2016;8;7;21;8.40500005947043;14.9944019366273;77.9036166666666;4.29758584770638
2016;8;7;22;31.1219941250072;38.3192238518656;32.8030516666666;4.6940091367115
2016;8;7;23;31.7474934775922;39.3046437648463;24.1116683333333;4.92874812144657
2016;8;8;0;17.4808725127232;24.6371087447802;27.86278;4.66727331661877
2016;8;8;1;14.1077195886925;21.3686404711036;27.0441666666666;4.73554829517084
2016;8;8;2;10.2838878354239;17.5356941793551;27.8027733333333;4.72960382368313
2016;8;8;3;10.1124986344204;17.4381044451411;24.6616616666666;4.77773558889573
2016;8;8;4;14.2750211527427;22.2645963513094;20.9333366666666;5.21077420115727
2016;8;8;5;19.8219160645112;30.654727997283;-999;7.06512368209539
2016;8;8;6;20.3565885903949;43.8013672373134;6.93500166666666;15.2906061572738
2016;8;8;7;-999;-999;5.756386;-999
2016;8;8;8;22.6699995115538;48.7456882706444;17.78111;17.0064769260387
2016;8;8;9;12.4378883626138;24.7981137224157;47.6605299999999;8.06129760652352
2016;8;8;10;5.94822955344829;14.0021210395844;68.8808333333333;5.25272106862539
2016;8;8;11;8.1764589243945;17.1401671294864;79.5486;5.84610048731672
2016;8;8;12;3.51168970709349;10.1807553428805;99.88335;4.34954228442805
2016;8;8;13;1.90847167764477;8.42316221999356;108.118366666666;4.24885936522434
2016;8;8;14;1.28461095727161;8.01347974567743;108.977216666666;4.38854570038811
2016;8;8;15;0.953147078768664;7.49078055386123;107.6697;4.26382266916341
2016;8;8;16;1.09968982613573;7.65936403043244;108.442716666666;4.27819755897385
2016;8;8;17;0.752180068658771;7.46808690016169;109.783116666666;4.38009195548334
2016;8;8;18;0.782860945884424;7.60857741791506;111.853583333333;4.45170943547186
2016;8;8;19;1.17555303764957;7.86287570605948;109.80695;4.36144945999328
2016;8;8;20;3.28208315840936;9.72964824058463;95.4739166666666;4.20508036478691
2016;8;8;21;11.2534808502174;17.3623591328481;64.5680133333333;3.98418996780363
2016;8;8;22;13.4891383340167;19.129774272653;44.89915;3.67880387838882
2016;8;8;23;13.689089541565;19.2517503689308;41.9508016666666;3.62794877182277
2016;8;9;0;11.9260445532897;17.9812458615335;33.9949783333333;3.94918202478035
2016;8;9;1;22.5447279550209;29.9391875606193;18.633335;4.82264180344209
2016;8;9;2;20.652385064094;27.9146791550409;15.7530571666666;4.73644389718137
2016;8;9;3;16.4925336875824;23.4998791671953;16.1966666666666;4.57016726625378
2016;8;9;4;14.5852700643152;21.2154203787361;16.898335;4.32416184209351
2016;8;9;5;22.9194552238522;37.6805781259458;10.3310515;9.62715494712904
2016;8;9;6;22.4906165447992;40.4602416753264;-999;11.7197293607571
2016;8;9;7;20.6950257259126;46.7340761983491;8.36360883333333;16.9825815581214
2016;8;9;8;-999;-999;21.9855516666666;-999
2016;8;9;9;12.3010567636365;23.2512325106829;51.1333;7.14166796891573
2016;8;9;10;10.6808799490515;19.3065924090006;68.2130666666666;5.62566079370113
2016;8;9;11;6.02580111778297;12.8766972270838;87.3108333333333;4.4681315106162
2016;8;9;12;2.68377699768702;8.8936972534047;104.8936;4.05008920443512
2016;8;9;13;0.98528134940065;7.33949964778705;99.69;4.14419990485765
2016;8;9;14;0.588419331918996;6.91995764353556;93.4977666666666;4.12940809340265
2016;8;9;15;0.404153030740282;6.69322021930674;94.6947;4.10170856911212
2016;8;9;16;0.543375308952464;6.76367815309235;98.0019833333333;4.05686069385064
2016;8;9;17;0.409282345990283;6.97503247590303;98.7089;4.2821602573228
2016;8;9;18;0.359297786375812;6.93164508322843;98.6267;4.28646290751842
2016;8;9;19;1.440160374966;7.95729692374564;99.6877833333333;4.25045464243108
2016;8;9;20;3.04773920896998;9.44704379354578;90.2122166666666;4.17360502979395
2016;8;9;21;4.97856859305925;11.1375021294992;77.5483666666666;4.01683583678906
2016;8;9;22;5.06291739017695;10.8312851354293;73.3108499999999;3.76211013510968
