year;month;day;hour;PM10;SO2
2016;1;1;0;105.719245509097;1.22
2016;1;1;1;132.018917656453;2.31525952381257
2016;1;1;2;123.619479129981;2.51373102033159
2016;1;1;3;32.9460880263646;1.76435759825897
2016;1;1;4;36.1641131258646;2.28555707078165
2016;1;1;5;35.8459615327517;5.25097192379313
2016;1;1;6;36.9861387440363;11.427550957508
2016;1;1;7;32.9073722585042;4.81567388103265
2016;1;1;8;35.1336978983879;4.87849963826096
2016;1;1;9;38.7452669209162;7.51447282757993
2016;1;1;10;44.0845031947453;5.37034823235482
2016;1;1;11;57.6907502686818;9.24947871488654
2016;1;1;12;66.257406477038;8.25181191360158
2016;1;1;13;72.0909213554382;6.18157772146372
2016;1;1;14;66.6912541760126;9.15143350449462
2016;1;1;15;69.3192646198908;10.6191077881193
2016;1;1;16;70.0139091283798;8.36470428753194
2016;1;1;17;71.3158861735025;5.6548323463204
2016;1;1;18;72.2782982109069;-999
2016;1;1;19;70.6929400467554;4.45339812003378
2016;1;1;20;70.5094245331446;4.29716939557513
2016;1;1;21;73.1294441445668;4.42897550128389
2016;1;1;22;65.3270905365626;5.26799185148364
2016;1;1;23;64.7010830007482;5.87210523766169
2016;1;2;0;75.474635775862;5.54823314977895
2016;1;2;1;61.1965358886082;4.93566737625809
2016;1;2;2;89.9136964098612;4.89232517049613
2016;1;2;3;97.8286705118815;4.16079850295759
2016;1;2;4;121.902693137741;3.72928493436148
2016;1;2;5;112.896020789082;3.77955511449874
2016;1;2;6;70.4319759073257;3.75925746065371
2016;1;2;7;70.0478769736607;3.37413144490243
2016;1;2;8;74.606445666631;3.12481938043668
2016;1;2;9;68.5523205790837;2.84116272672186
2016;1;2;10;64.8474057916641;2.67393507475454
2016;1;2;11;70.9061774728139;2.53583289448481
2016;1;2;12;72.01330565478;2.44052509084061
2016;1;2;13;67.7015259489695;2.59766513209554
2016;1;2;14;72.5251365552901;2.73638924368387
2016;1;2;15;82.4813327754974;2.94438123218583
2016;1;2;16;89.7034845050811;3.27671629089321
2016;1;2;17;89.3186834744771;3.29199721732081
2016;1;2;18;86.7449853622436;3.39713355542543
2016;1;2;19;89.7630236499492;-999
2016;1;2;20;87.3843645748138;3.74602943046863
2016;1;2;21;72.0021391249974;3.96305402570564
2016;1;2;22;56.4828537670135;4.63574559579319
2016;1;2;23;47.0986000614166;5.53861063248119
2016;1;3;0;42.1088897343339;6.37860709415357
2016;1;3;1;39.8175239693959;7.2174133177184
2016;1;3;2;38.0921829833984;7.4932294461251
2016;1;3;3;36.2525946215947;7.16928811749447
2016;1;3;4;35.2052284081776;7.75641558933983
2016;1;3;5;33.2841157223701;8.19286144929726
2016;1;3;6;31.7398969953219;9.17328098550982
2016;1;3;7;28.6903257083257;9.91140494017054
2016;1;3;8;29.5401675654729;9.44924127207566
2016;1;3;9;31.0472084740638;10.2714865692606
2016;1;3;10;32.0459790892918;12.0365820792785
2016;1;3;11;31.5070336641311;11.0634411829096
2016;1;3;12;33.9379714914957;10.2560009625736
2016;1;3;13;37.7573454251607;8.79795396054594
2016;1;3;14;33.605894816335;6.77159531186897
2016;1;3;15;31.9922350990613;5.37636069343078
2016;1;3;16;35.2344159681002;4.41082609147135
2016;1;3;17;36.0572937636057;5.71682182277416
2016;1;3;18;35.3028203928629;7.76437060647518
2016;1;3;19;45.3770693988164;10.2718739117564
2016;1;3;20;45.0938055510202;-999
2016;1;3;21;50.213017142868;7.98782935919801
2016;1;3;22;55.7216270654678;5.49870212045817
2016;1;3;23;50.4388686555226;4.26112707218647
2016;1;4;0;35.4145735666011;4.02947645337438
