year;month;day;hour;NO2;NOx;O3;PM10;SO2;NO
2016;1;3;14;20.459821503769;31.3554616;39.6654245923913;55.81604;6.5842;7.1061
2016;1;3;15;26.6189014120289;42.9190464;36.9921528985507;43.75568;6.7209;10.6309
2016;1;3;16;27.3343831582999;37.3520672;40.2061100543478;56.37764;6.6223;6.5335
2016;1;3;17;40.3146420490778;63.8451216;29.7146984782608;67.14632;6.272;15.3465
2016;1;3;18;33.6860744506816;49.58772;28.0032618297101;61.75496;5.2247;10.371
2016;1;3;19;34.7028185526864;49.7202216;27.147804347826;59.77532;4.92359;9.7943
2016;1;3;20;29.1402236131516;39.6221848;29.7692068297101;59.32604;4.68936;6.8363
2016;1;3;21;30.9684458142743;40.9858232;28.010335;56.58824;4.49282;6.5333
2016;1;3;22;34.6878045228548;48.01032;24.9046286956521;52.60088;4.53383;8.6889
2016;1;3;23;24.7613483336006;31.845316;38.3393513949275;52.10948;6.6667;4.62014
2016;1;4;0;21.2992581947073;25.0408904;40.1956951992753;51.43556;7.8873;2.44028
2016;1;4;1;42.0617269125902;48.76078;31.1437826086956;66.85148;5.7061;4.3691
2016;1;4;2;35.5731834919006;38.0671552;32.6460844474637;111.56888;5.6459;1.62656
2016;1;4;3;21.0264220811548;23.1243016;34.4077854528985;90.64928;7.0398;1.36823
2016;1;4;4;21.5156136442662;23.7271552;-999;74.405;5.2904;1.44236
2016;1;4;5;28.8092594797113;34.6756496;32.3395230072463;71.0354;-999;3.82604
2016;1;4;6;33.716757067522;40.2978856;31.785147490942;96.67244;5.0584;4.29219
2016;1;4;7;34.3520533363272;44.5851632;30.4284555434782;113.26772;4.28113;6.674
2016;1;4;8;-999;-999;29.3827843840579;95.26844;5.0389;-999
2016;1;4;9;-999;-999;-999;48.93644;-999;-999
2016;1;4;10;37.3928780503609;63.4242904;25.4534682065217;10.07372;7.2958;16.9776
2016;1;4;11;33.4288627656776;53.2859104;28.0456768840579;36.55316;9.9887;12.9507
2016;1;4;12;41.5306328038492;71.7862312;26.2855025815217;57.58508;10.8062;19.7326
2016;1;4;13;39.3817557831596;72.7361128;30.3590204347826;73.9838;10.7283;21.7536
2016;1;4;14;49.3224357497995;85.71974;30.4246503623188;95.07188;9.3721;23.7382
2016;1;4;15;48.6073669157979;99.511952;32.1493704710144;78.78548;9.6222;33.1998
2016;1;4;16;48.3015735647153;75.2215216;29.7481759510869;84.68228;8.7425;17.5571
2016;1;4;17;40.336819102486;64.2187264;30.5157484057971;83.6714;8.7229;15.5757
2016;1;4;18;44.0764738367281;63.7309752;27.2461284510869;44.20496;8.9527;12.8186
2016;1;4;19;59.4001503050521;83.8863232;20.442288097826;71.948;8.3443;15.9698
2016;1;4;20;44.6283055557338;51.709084;25.7015260416666;55.47908;8.2715;4.61806
2016;1;4;21;43.0885555496391;49.8097032;25.0297707608695;84.61208;8.6406;4.38351
2016;1;4;22;42.3655086004811;56.0420584;23.0222472010869;82.92728;7.5592;8.9198
2016;1;4;23;35.5526191422614;53.7914432;25.4336531521739;91.5338;6.7014;11.8953
2016;1;5;0;23.6310587239775;28.4968304;28.4994814402173;79.06628;5.9846;3.17344
2016;1;5;1;29.2196958088212;34.5257488;24.2368739130434;75.71072;5.6573;3.46059
2016;1;5;2;17.1444598088212;20.3473128;27.6082583786231;78.65912;5.2092;2.08889
2016;1;5;3;30.8131566088212;35.0102496;21.0125918840579;75.16316;5.0669;2.73733
2016;1;5;4;38.6842403971131;46.6801416;17.1207828260869;66.85148;4.48359;5.2149
2016;1;5;5;44.6314228670409;65.5085616;-999;75.61244;4.19764;13.616
2016;1;5;6;36.11980681251;61.6989016;19.9068812499999;75.51416;-999;16.6826
