year;month;day;hour;O3;PM10;PM25
2016;1;1;0;74.43;8.07668467785517;6.18021303348541
2016;1;1;1;74.4966321733262;8.84831592069823;7.55512966563784
2016;1;1;2;72.9896078806075;7.77948818420152;6.51702307717275
2016;1;1;3;-999;6.98972800307274;5.76062399196625
2016;1;1;4;75.8638934423053;6.35445702424049;5.22226798839569
2016;1;1;5;74.0535359942723;7.17606701741219;5.91927598571777
2016;1;1;6;71.9165131765698;8.63795996756554;7.1755440038681
2016;1;1;7;71.2561558556935;9.36666901946068;7.80141600208283
2016;1;1;8;70.8357984330918;9.47174206008911;7.98019199523926
2016;1;1;9;71.1837748270186;8.69595598053932;7.31407199077606
2016;1;1;10;73.3250844016907;7.0908630133152;5.95999199523926
2016;1;1;11;72.114727207971;7.5258329911232;6.37495199375153
2016;1;1;12;71.8943700396825;8.05477798600197;6.8365559961319
2016;1;1;13;71.6373456198071;8.7917210044384;7.37225996875763
2016;1;1;14;71.2003220391652;9.03695097541809;7.64993997917175
2016;1;1;15;72.2232984330919;9.12126003584862;7.72310397262573
2016;1;1;16;73.2129420023115;8.59356799283028;7.35197995834351
2016;1;1;17;73.2992511446513;8.31862399044037;7.14871199970245
2016;1;1;18;72.4505603124225;7.88974003243446;6.7994279794693
2016;1;1;19;73.1368699633886;7.54874502048492;6.47619600505829
2016;1;1;20;73.3881798940991;7.39659500341415;6.36340803451538
2016;1;1;21;73.5678222171844;7.43848102321625;6.38868001041412
2016;1;1;22;72.72579820421;7.50113098907471;6.43267197589874
2016;1;1;23;72.4554416717044;7.84516902799606;6.6718199672699
2016;1;2;0;69.9650842999655;9.21791995220184;7.77411598720551
2016;1;2;1;70.6113932897174;9.41499898190498;7.86412800178528
2016;1;2;2;72.7293701414078;8.86009905018807;7.25525999107361
2016;1;2;3;72.0173465607658;8.6759079911232;7.1168880449295
2016;1;2;4;-999;8.16736897678375;6.76105199375153
2016;1;2;5;73.5116319444444;7.64934300990105;6.29398800029755
2016;1;2;6;72.5929411630782;7.62571497268677;6.41114401130676
2016;1;2;7;70.0609173789857;7.71181403141022;6.55700399494171
2016;1;2;8;69.3422272334023;7.21133000512123;6.14453998661041
2016;1;2;9;71.771870319427;6.76186100273132;5.68387201309204
2016;1;2;10;71.0398461538647;6.86926101126671;5.80898396816254
2016;1;2;11;71.1578222426157;9.1307470310688;7.86397199077606
2016;1;2;12;72.2257985856798;8.10113906555176;6.97555200119019
2016;1;2;13;74.0404415191166;6.12945396995544;5.2765559961319
2016;1;2;14;76.0767509157695;5.2877960044384;4.53883199672699
2016;1;2;15;77.373060032678;4.7831950375557;4.0909560333252
2016;1;2;16;78.4227034493098;5.32019501194954;4.55755200862885
2016;1;2;17;79.4973459758455;4.88969999146462;4.18627196102142
2016;1;2;18;80.0203226240854;4.94518999829292;4.24523998661041
2016;1;2;19;80.2266318427191;5.57938700588942;4.79077201495171
