year;month;day;hour;NO2;NOx;O3;PM10;PM25;SO2;NO
2016;1;1;0;10.08;25.08544;-999;23.9800751508616;21.2789261126761;-999;-999
2016;1;1;1;7.85447209106552;9.39770940148926;60.4112357363414;31.4656838036899;30.9412851239237;7.06893359714229;1.00649420821046
2016;1;1;2;7.22191560788566;8.5842681751709;55.7439681090178;33.2342925945691;32.8417455558777;5.55246374359852;0.888521784207473
2016;1;1;3;8.13620171776475;9.51059389782715;54.2626741821454;38.8530193844499;38.2469364467489;6.22288333428645;0.896373979360782
2016;1;1;4;9.7887050766802;11.4524977188873;51.2147554738981;42.5678767050425;41.9274387019475;6.07990319497262;1.0851199920671
2016;1;1;5;11.4488594184584;13.1889760036469;46.8666549630373;48.2858131458283;47.4508213565191;5.61125278194826;1.13489821220187
2016;1;1;6;12.0201610429603;13.759822715332;42.5579383385397;52.6518529795329;51.7565779003143;5.40355085359585;1.13460151958553
2016;1;1;7;10.0123898334147;11.4871431240234;42.2453948736911;49.0195224510193;48.2895854260762;5.03082508554749;0.961829159722353
2016;1;1;8;9.15655938715055;10.6764550948486;39.7559036295345;51.8168731842041;51.1354398583094;4.56929725235724;0.991270893043682
2016;1;1;9;9.15735497882923;11.1142265985107;38.6273300016268;54.2574292072296;53.4057419054667;4.45757471160283;1.2762651201584
2016;1;1;10;8.62692422614723;11.190094715332;40.2878027719284;54.0433186743418;53.2367395739237;4.38402469016627;1.67169121339615
2016;1;1;11;8.31764837906727;11.1579730949097;39.963641965657;57.817998167038;56.9213583333333;3.54774053083741;1.85245027230935
2016;1;1;12;7.13494812207703;9.56841280291748;44.6649437673543;52.5391805753072;51.7461100584666;3.68594061146379;1.58709751935567
2016;1;1;13;6.60207996312931;9.36711744525146;51.4876683691108;45.9401563256582;45.0738168410619;4.59312308101195;1.80334819048448
2016;1;1;14;5.73399371028494;7.57626175183105;57.4695883353896;40.4292883845011;39.8374509175618;4.57062396802275;1.20152105010879
2016;1;1;15;5.26953495963324;6.46883135766601;59.6319108182471;37.8499044459025;37.4501478160858;4.34699401852583;0.78217709641573
2016;1;1;16;5.40998998900866;6.51502529925537;59.0083406959053;38.3726892456055;37.8236069381714;4.25566809183793;0.720700330479941
2016;1;1;17;5.58059896526128;6.41315392700195;60.209676382349;40.0805416666667;39.5659670154571;4.38190925944338;0.542989559252413
2016;1;1;18;6.50711573375838;7.17795389782715;59.1089864528358;43.9967319948832;43.3670805430094;4.05790498160794;0.437518405122257
2016;1;1;19;7.0115343771408;8.04003646716309;57.5142075675719;44.7359741388957;44.1320645283381;3.98388373989144;0.670785620427714
2016;1;1;20;7.12131341506445;8.00210236499023;57.3514754500327;43.1600753665924;42.5852134819667;4.36812662246444;0.574447604894062
2016;1;1;21;7.21174252229281;8.45272258392334;57.1434329849031;48.3228676556905;47.0687516983668;4.22261567473407;0.809363042287279
2016;1;1;22;8.84651187579153;10.1380358248291;56.2943714184483;57.3210344970703;56.2321807362239;4.52916787751854;0.842327596469584
2016;1;1;23;7.8899671160177;9.37109436499023;56.5781060331869;54.1717510826111;53.6389006331762;4.42584017836405;0.96598623403177
2016;1;2;0;7.23185702601561;8.1700525109253;55.0087635265035;52.7668723230998;51.9505672998428;4.2154779243214;0.611887954854803
2016;1;2;1;7.64562510414774;8.6996;53.8602299121085;54.097475;53.5072107104619;4.48697203135552;0.687398899125402
2016;1;2;2;7.16219198369002;8.09265475909424;55.8322627909982;51.88662225914;51.2924551030477;4.57816036502347;0.606844707598882
2016;1;2;3;7.30457848590681;8.34381500732422;54.5340968148386;51.5075280434926;50.8156695481618;4.65070267809255;0.677786580652465
2016;1;2;4;7.03998884813408;8.27008832116699;53.8346128804633;45.5781640537262;45.3478333977381;4.6122102157385;0.802266758824291
2016;1;2;5;6.74394099899886;7.78275770806884;50.2928161635526;49.1783029327393;48.8899565249761;3.9532235843495;0.677512780444701
2016;1;2;6;9.78327005623136;11.2280288612671;42.1833161605544;60.6926431798299;59.9787612336477;3.64022296530885;0.942266856631563
2016;1;2;7;9.43512358327072;10.7385568466797;46.5824829084765;57.3968198380788;56.5629252388;4.773445402575;0.8500948114388
2016;1;2;8;9.16785006688137;10.6847149196777;41.3332054342497;59.0476657587687;58.3138956589381;3.75506715802117;0.989294179621895
2016;1;2;9;10.0897632870429;12.3672749342651;40.0693210070993;60.4631075361888;59.518014987119;4.25492759845238;1.48538547284841
2016;1;2;10;13.2403343274292;16.517079532959;38.1731977370629;70.882753252538;69.2186717508952;4.32302272228247;2.13708225486177
2016;1;2;11;10.4766311116025;14.0348448320923;40.0294267138753;73.4083151831309;71.5335457877477;4.17568794254953;2.32065507816461
2016;1;2;12;7.94668239037572;10.0254572700806;51.5682242352877;60.8282857715607;59.7420566349665;4.56141737240755;1.35577001830123
2016;1;2;13;8.83637581035368;10.9866579707642;50.4562005975754;62.7175534568787;61.6812765051524;3.8645417545261;1.40240682742253
2016;1;2;14;9.13321141647922;10.8762208320923;50.0320828911003;61.5018026129405;60.546210012881;3.55058301774826;1.1367849065217
2016;1;2;15;9.53935587917834;11.0876115182495;49.3151606280757;65.3990465259552;63.2620627655665;3.38588185607519;1.00976714535656
2016;1;2;16;9.60729494231045;11.0845523503418;50.4473469242193;59.198901163737;55.648017557462;2.98170535296714;0.963462336723375
2016;1;2;17;12.0037689852758;13.828654715332;46.003327131694;62.4777903921763;59.6353542310715;2.10300719314155;1.19018436473857
2016;1;2;18;12.1522340396251;13.7365728175049;38.0688095330413;57.0452225617727;56.3127144371668;1.81252661368652;1.03330044770713
