year;month;day;hour;NO2;NOx;PM10;SO2;NO
2016;1;1;0;58.7;208.23592;234.712;16.49;-999
2016;1;1;1;49.6027308099439;138.120319150383;209.5464;16.4824537037037;57.7308748224516
2016;1;1;2;52.9990683881315;150.81608353021;231.8316;15.6085648148148;63.7959298546923
2016;1;1;3;51.3454081582465;140.042047910037;215.6104;14.5530092592592;57.8476515535996
2016;1;1;4;47.8601786794975;134.819185623197;175.1332;13.130787037037;56.7143732525069
2016;1;1;5;44.6647212082331;129.975536669691;179.5296;13.0985648148148;55.6394282847476
2016;1;1;6;37.0085002726544;95.2059010495174;145.4196;11.5830092592592;37.9561499836549
2016;1;1;7;33.7417248436247;82.828972096011;148.34548;10.8841203703703;32.0145383492289
2016;1;1;8;34.0158778401497;98.1983498091712;156.638;12.1202314814814;41.8595933814696
2016;1;1;9;31.0638183266506;69.1933941889981;142.1602;11.1713425925925;24.8679817470436
2016;1;1;10;33.6386449933173;74.9549719021584;148.10292;11.035787037037;26.9463701126176
2016;1;1;11;30.229205538626;65.3153896153186;138.15796;11.2152314814814;22.8830918115249
2016;1;1;12;23.5250721839081;39.2357939951455;101.71332;10.7146759259259;10.2464801770989
2016;1;1;13;20.3373756642609;36.2117317083057;96.6044;9.85912037037037;10.3532018760062
2016;1;1;14;22.5593946324512;38.8503760881327;91.11648;9.60689814814814;10.6249235749136
2016;1;1;15;26.2114117401764;52.5531271346262;78.30628;8.73134259259259;17.1799786071542
2016;1;1;16;35.9510278107458;82.2561315144531;75.78972;8.74078703703703;30.2000336393949
2016;1;1;17;46.7236298636728;117.56129589428;78.47304;8.68523148148148;46.2000886716356
2016;1;1;18;65.3132274685913;203.12975360744;107.48928;9.58800925925925;89.8834770372096
2016;1;1;19;59.9542431007752;174.255451320601;86.35624;9.83078703703703;74.5468654027836
2016;1;1;20;65.5143861213579;241.404975700427;90.70716;11.6052314814814;114.715253768358
2016;1;1;21;75.7868425020049;367.759580080254;128.95584;13.4646759259259;190.423642133932
2016;1;1;22;67.9813133279872;256.697957793415;128.04624;11.8924537037037;123.080363832839
2016;1;1;23;54.5976148730286;137.497588839908;117.10072;10.8252314814814;54.0670855317462
2016;1;2;0;-999;-999;91.16196;9.81967592592592;-999
2016;1;2;1;34.7496570328789;60.606677599562;83.50616;-999;16.8638622628942
2016;1;2;2;33.7817536701417;48.1341486460555;75.89584;8.87856481481481;9.36058396180155
2016;1;2;3;33.7475640844694;48.2712596925491;88.05416;8.40634259259259;9.47230566070889
2016;1;2;4;31.4418459235499;45.6359707390427;91.11648;8.4074537037037;9.25736069294955
2016;1;2;5;21.8927705426357;30.7383884522029;84.27932;7.80856481481481;5.76908239185688
2016;1;2;6;29.596597262764;48.6411661653631;80.39836;8.08967592592592;12.4208040907642
2016;1;2;7;40.9109607591553;92.1774905451901;65.81444;9.72912037037037;33.4358591230049
2016;1;2;8;47.8870391873831;112.237641591684;67.81556;10.0635648148148;41.9692474885789
2016;1;2;9;49.0815485378241;126.383339304844;76.69932;9.56134259259259;50.4159691874862
2016;1;2;10;50.3399982143812;131.743397018004;86.902;9.93578703703703;53.0910242197269
2016;1;2;11;49.6955249077787;134.605108064498;72.66676;9.60523148148148;55.3777459186342
2016;1;2;12;35.6420795829992;82.4139657776579;47.66792;7.99634259259259;30.5044676175415
2016;1;2;13;51.2099326597167;129.968676824151;59.65948;7.98912037037037;51.3661893164489
2016;1;2;14;42.032125666934;104.147201203978;50.0632;7.31523148148148;40.5112443486895
2016;1;2;15;46.6953255172414;129.328325583805;67.89136;7.04300925925926;53.8929660475969
2016;1;2;16;40.1826195990377;119.013169963632;68.57356;6.86912037037037;51.4130210798375
2016;1;2;17;32.7254439454691;96.5759343434591;69.11932;6.26356481481481;41.6430761120782
2016;1;2;18;24.9595679443999;60.1173653899527;57.93124;5.54300925925926;22.9297978109855
2016;1;2;19;27.1476247634322;75.2796097697796;62.10024;5.6824537037037;31.3915195098929
2016;1;2;20;26.4883987489976;72.8546408162732;58.44668;5.68523148148148;30.2399078754669
2016;1;2;21;23.2294404918471;58.5561518627667;58.27992;5.99800925925925;23.0399629077075
2016;1;2;22;21.5620880727078;42.320169575927;58.53764;6.21912037037037;13.5383512732815
2016;1;2;23;21.7794841593157;43.5726139557539;47.12216;6.70189814814814;14.2134063055222
2016;1;3;0;19.582102443197;36.8010316689141;47.74372;7.00634259259259;11.2301280044295
2016;1;3;1;-999;-999;37.01044;8.23578703703703;-999
2016;1;3;2;13.4027443464314;24.6854937619013;43.37764;-999;7.35857140224418
2016;1;3;3;11.5077279764769;18.3696048083948;33.3114;9.28020833333333;4.47529310115151
2016;1;3;4;12.0947083988238;17.6303825215551;36.28276;9.16770833333333;3.61034813339218
2016;1;3;5;12.5193579256883;20.3678135680486;30.26424;8.866875;5.11873649896617
2016;1;3;6;12.5529597540765;16.7574046145422;29.12724;8.11604166666666;2.74212486454017
2016;1;3;7;13.8260803635392;18.9403556610358;29.8246;7.66020833333333;3.33551323011417
2016;1;3;8;16.9763546324512;23.7108800408627;30.052;7.02270833333333;4.3922349290215
2016;1;3;9;19.8835759315691;29.3959777540229;39.49668;6.21687499999999;6.20395662792883
2016;1;3;10;21.292557914996;35.3869954671832;46.47028;7.09270833333333;9.19234499350283
2016;1;3;11;17.0469621705426;31.0085998470101;42.24064;7.80354166666666;9.10573335907683
2016;1;3;12;15.4730657150495;30.3649775601703;42.13452;7.93104166666666;9.71245505798416
2016;1;3;13;16.98118957498;36.5726886066639;49.42648;7.15520833333333;12.7775100902248
2016;1;3;14;18.2658455600107;34.4918796531575;49.13844;6.10104166666666;10.5825651224655
2016;1;3;15;22.3366985084202;43.5229773663177;47.42536;5.881875;13.8176201547062
2016;1;3;16;22.5210243036621;46.0405284128113;41.52812;6.12770833333333;15.3393418536135
2016;1;3;17;33.5019019834269;70.7213461259715;48.41076;6.19520833333333;24.2743968858542
2016;1;3;18;34.8127847206629;66.5022838391317;50.50284;6.39604166666666;20.6677852514281
2016;1;3;19;38.892839903769;79.940541552292;51.03344;6.801875;26.7711736170022
2016;1;3;20;33.3507946966052;66.3463059321189;51.89756;6.90104166666666;21.5195619825761
2016;1;3;21;30.8585070408982;64.7817369786125;52.12496;7.02854166666666;22.1246170148168
2016;1;3;22;27.315278695536;53.924848025106;54.77796;7.014375;17.3546720470575
2016;1;3;23;27.9188415396953;53.4628657382663;50.01772;7.006875;16.6597270792981
2016;1;4;0;26.4880869820904;46.9621501180932;58.76504;6.75270833333333;13.3531154448721
2016;1;4;1;21.1848731141406;32.0836878312534;59.09856;6.206875;7.10817047711281
2016;1;4;2;-999;-999;52.88296;5.94604166666666;-999
2016;1;4;3;18.7781450307404;22.3071632575739;56.02108;-999;2.30161387492747
2016;1;4;4;14.7363298476343;18.4673143040675;66.93628;5.00604166666666;2.4333355738348
2016;1;4;5;15.7793767014167;24.933145350561;62.85824;4.29520833333333;5.97005727274213
2016;1;4;6;18.5851562042235;34.5442163970546;48.75944;6.20437499999999;10.4084456383161
2016;1;4;7;26.709635701684;65.3434341102149;34.81224;12.3768749999999;25.1968340038901
2016;1;4;8;49.5133457043571;150.319171823375;49.09296;15.5910416666666;65.7452223694641
2016;1;4;9;47.501094755413;141.747122869869;51.59436;17.8402083333333;61.4669440683715
2016;1;4;10;49.2674944987971;143.633713916362;55.33888;22.4260416666666;61.5453324339455
2016;1;4;11;44.4651341673349;131.683798296189;55.26308;20.591875;56.8837207995195
2016;1;4;12;41.2358525421011;121.779722676016;62.9492;19.6110416666666;52.5304424984268
2016;1;4;13;43.7186568618017;118.52303372251;69.86216;19.476875;48.7871641973341
2016;1;4;14;51.6088154183374;137.843878102337;69.27092;17.194375;56.2422192295748
2016;1;4;15;51.5927926436782;139.724095815497;70.226;16.6285416666666;57.4789409284821
2016;1;4;16;60.8414831649292;169.541820195324;69.37704;13.8310416666666;70.8939959607228
2016;1;4;17;60.623289772788;159.060957908484;55.445;12.5252083333333;64.2007176596301
2016;1;4;18;59.8814174178027;147.703762288311;63.1008;12.209375;57.2774393585374
2016;1;4;19;53.1140924886394;120.273020001471;74.13728;16.056875;43.8008277241114
2016;1;4;20;53.6984740016039;116.630744381298;78.943;18.1327083333333;41.0442160896854
2016;1;4;21;53.4572021919273;105.917255427792;77.39668;17.6852083333333;34.2142711219261
2016;1;4;22;55.5431757925688;114.384313140952;87.62968;18.2127083333333;38.3759928208334
2016;1;4;23;54.1191216680032;106.691784187445;80.70156;16.5185416666666;34.2877145197408
2016;1;5;0;47.6619537022187;84.7102419006056;87.97836;19.3260416666666;24.1627695519814
2016;1;5;1;34.8516840310077;55.1157529470992;99.2574;20.2735416666666;13.2161579175554
2016;1;5;2;28.2592935578722;44.4628106602594;79.53424;19.399375;10.5678796164628
2016;1;5;3;-999;-999;83.17264;19.9918749999999;-999
2016;1;5;4;22.7837185886127;28.9980860865799;93.23888;-999;4.05298968094409
2016;1;5;5;20.4999876610532;33.1567704664068;89.1002;16.686875;8.25471137985142
2016;1;5;6;24.8423461427426;41.662068179567;82.26304;16.0060416666666;10.9697664120921
