year;month;day;hour;NO2;NOx;PM10;SO2;NO
2016;1;4;4;12.6750865308741;19.024768;66.11764;3.54703;4.141241
2016;1;4;5;16.0515293889334;35.784964;74.016;3.09115;12.87008
2016;1;4;6;10.5598804147554;16.1806276;69.089;5.0702;3.6658325
2016;1;4;7;14.7917818444266;41.13468;41.98292;14.9481;17.18075
2016;1;4;8;14.6170005613472;44.04922;41.30072;16.499;19.195595
2016;1;4;9;18.9005475573376;44.260092;41.3462;19.9973;16.53941
2016;1;4;10;18.4483245838011;63.339708;51.33664;19.6086;29.27801
2016;1;4;11;16.8430374498797;64.7133;47.92564;18.5188;31.220825
2016;1;4;12;16.7911294691259;51.928024;53.56516;17.675;22.916165
2016;1;4;13;19.1462330457097;60.982104;48.21368;-999;27.285215
2016;1;4;14;22.5237859374499;65.016192;64.35908;15.6888;27.713405
2016;1;4;15;-999;-999;75.24396;15.6774;-999
2016;1;4;16;31.603385850842;83.615068;63.98008;11.8348;33.921845
2016;1;4;17;30.0225014851644;73.821216;79.56456;10.9799;28.565375
2016;1;4;18;27.0100461234964;65.463908;75.44104;14.2923;25.07948
2016;1;4;19;34.187691659984;51.46242;77.83632;12.137;11.26652
2016;1;4;20;34.2302380176423;88.512424;77.9576;13.133;35.40266
2016;1;4;21;37.1491952590217;62.729624;87.2052;13.8708;16.68347
2016;1;4;22;36.5322249719326;61.33006;95.20968;13.0576;16.173065
2016;1;4;23;30.7879208147554;45.342488;90.02496;19.2384;9.49244
2016;1;5;0;24.7274966672013;32.850644;86.64428;21.3003;5.2978895
2016;1;5;1;26.2539762469928;29.37762;89.03956;19.1752;2.03723
2016;1;5;2;22.302764105854;27.900312;88.50896;15.455;3.650702
2016;1;5;3;15.8339462101043;17.866692;87.72064;17.0303;1.32575
2016;1;5;4;21.2206777706496;28.076268;90.85876;17.0839;4.471193
2016;1;5;5;19.6862313360064;28.382084;90.66168;18.9454;5.671406
2016;1;5;6;19.061624670409;23.57692;78.04856;17.9398;2.9448605
2016;1;5;7;24.2072362085004;57.816616;88.47864;17.0942;21.919925
2016;1;5;8;27.8247125677626;71.281636;107.50444;14.249;28.34246
2016;1;5;9;23.7056185052125;82.447188;121.13328;14.6148;38.311055
2016;1;5;10;24.687984202085;90.2467;138.08216;16.3424;42.757175
2016;1;5;11;24.4396692830794;81.683508;132.80648;18.1231;37.33424
2016;1;5;12;29.0750727826784;87.93932;106.54936;17.8372;38.391065
2016;1;5;13;39.3342766800321;82.99518;130.7144;19.1897;28.475495
2016;1;5;14;44.5685476760224;82.751456;177.5588;-999;24.902765
2016;1;5;15;54.0761420817963;90.406488;132.4578;14.8144;23.69453
2016;1;5;16;-999;-999;135.8688;12.1954;-999
2016;1;5;17;55.9627502165196;154.53256;112.56788;9.6826;64.2869
2016;1;5;18;56.159153648757;121.21444;131.07824;8.686;42.42884
2016;1;5;19;45.1022472493986;157.35336;133.33708;8.9487;73.2098
2016;1;5;20;43.5300668163593;122.27052;126.65152;8.3462;51.35426
2016;1;5;21;42.321633680834;104.4238;123.95304;8.5298;40.502825
2016;1;5;22;41.6368450809944;71.170008;118.38932;8.9106;19.26143
2016;1;5;23;40.0549288147554;64.245976;115.20572;9.095;15.77732
2016;1;6;0;27.1212249270249;39.069132;106.12488;10.4006;7.792385
2016;1;6;1;33.3103497706496;61.085132;114.09904;14.0585;18.11462
2016;1;6;2;14.575505138733;17.994316;105.79136;15.2636;2.229737
2016;1;6;3;16.3079054049719;20.170288;94.103;14.8421;2.519033
2016;1;6;4;21.5153057193264;27.976508;84.87056;14.6141;4.2139745
2016;1;6;5;22.9310583255814;38.704836;72.93964;13.9148;10.287605
2016;1;6;6;20.0446406928629;33.333792;72.879;10.3256;8.66714
2016;1;6;7;26.6479014402566;63.017208;68.98288;10.241;23.71994
2016;1;6;8;23.4578169879711;73.781312;79.0946;8.4666;32.820815
2016;1;6;9;25.4069804747394;75.801796;60.73584;9.6994;32.86733
2016;1;6;10;18.0489894691259;41.541804;52.034;13.7304;15.321935
2016;1;6;11;21.6139372413793;65.89322;54.89924;14.5174;28.8788
2016;1;6;12;20.6929552526063;101.10936;82.18724;13.4423;52.44731
2016;1;6;13;19.2266089526864;92.091572;87.1294;12.3794;47.522285
2016;1;6;14;16.8765287249399;82.42156;77.806;14.0422;42.74825
2016;1;6;15;20.2259573696872;110.11012;75.6078;-999;58.62215
2016;1;6;16;22.8475457257418;101.21256;71.52976;11.0737;51.1094
2016;1;6;17;-999;-999;80.20128;8.9886;-999
2016;1;6;18;25.1249576006415;82.062424;80.459;7.209;37.134425
2016;1;6;19;31.4619121026463;48.778016;71.25688;5.7556;11.293505
2016;1;6;20;27.9795348516439;125.53508;78.04856;7.3216;63.6254
2016;1;6;21;29.2427683945469;70.859204;78.50336;6.7464;27.1421
2016;1;6;22;30.7545387072975;89.702664;79.35232;7.2009;38.44577
2016;1;6;23;32.1007221684042;65.336112;67.92168;6.5709;21.67601
2016;1;7;0;30.5082180561347;65.145708;55.1418;5.9274;22.590455
2016;1;7;1;27.7273213632718;90.53738;49.97224;6.0777;40.96451
2016;1;7;2;28.1932575204491;87.996424;39.57248;6.1978;39.003425
2016;1;7;3;27.4796005453087;97.03468;59.20468;5.6;45.36359
2016;1;7;4;23.9827918203689;93.94728;78.16984;5.2576;45.630605
2016;1;7;5;24.6203662838813;91.472028;71.33268;4.77175;43.60043
2016;1;7;6;22.96089042502;114.07988;54.44444;4.75033;59.4275
2016;1;7;7;13.6650108420209;246.47516;60.38716;6.2898;151.838
2016;1;7;8;11.5453889334404;408.924;71.9694;8.4691;259.169
2016;1;7;9;10.1136293504411;470.887;62.84308;9.54459999999999;300.51485
2016;1;7;10;43.8339847955092;364.23152;77.07832;9.8808;208.9622
2016;1;7;11;52.6602771451483;224.8496;185.39652;11.5573;112.3013
2016;1;7;12;49.6499058861267;174.48112;130.108;8.8364;81.4145
2016;1;7;13;46.3834760545309;145.12072;129.41064;6.6212;64.3961
2016;1;7;14;55.4111222453889;159.77512;118.46512;6.7568;68.06585
