year;month;day;hour;NO2;NOx;O3;NO
2016;1;6;12;-999;-999;-999;-999
2016;1;6;13;-999;-999;-999;-999
2016;1;6;14;-999;-999;-999;-999
2016;1;6;15;-999;-999;-999;-999
2016;1;6;16;-999;-999;-999;-999
2016;1;6;17;-999;-999;-999;-999
2016;1;6;18;-999;-999;-999;-999
2016;1;6;19;-999;-999;-999;-999
2016;1;6;20;-999;-999;-999;-999
2016;1;6;21;-999;-999;-999;-999
2016;1;6;22;-999;-999;-999;-999
2016;1;6;23;-999;-999;-999;-999
2016;1;7;0;-999;-999;-999;-999
2016;1;7;1;-999;-999;-999;-999
2016;1;7;2;-999;-999;-999;-999
2016;1;7;3;-999;-999;-999;-999
2016;1;7;4;-999;-999;-999;-999
2016;1;7;5;-999;-999;-999;-999
2016;1;7;6;-999;-999;-999;-999
2016;1;7;7;-999;-999;-999;-999
2016;1;7;8;-999;-999;-999;-999
2016;1;7;9;-999;-999;-999;-999
2016;1;7;10;-999;-999;-999;-999
2016;1;7;11;-999;-999;-999;-999
2016;1;7;12;-999;-999;-999;-999
2016;1;7;13;-999;-999;-999;-999
2016;1;7;14;-999;-999;-999;-999
2016;1;7;15;-999;-999;-999;-999
2016;1;7;16;-999;-999;-999;-999
2016;1;7;17;-999;-999;-999;-999
2016;1;7;18;-999;-999;-999;-999
2016;1;7;19;-999;-999;-999;-999
2016;1;7;20;-999;-999;-999;-999
2016;1;7;21;-999;-999;-999;-999
2016;1;7;22;-999;-999;-999;-999
2016;1;7;23;-999;-999;-999;-999
2016;1;8;0;-999;-999;-999;-999
2016;1;8;1;-999;-999;-999;-999
2016;1;8;2;-999;-999;-999;-999
2016;1;8;3;-999;-999;-999;-999
2016;1;8;4;-999;-999;-999;-999
2016;1;8;5;-999;-999;-999;-999
2016;1;8;6;-999;-999;-999;-999
2016;1;8;7;-999;-999;-999;-999
2016;1;8;8;-999;-999;-999;-999
2016;1;8;9;-999;-999;-999;-999
2016;1;8;10;-999;-999;-999;-999
2016;1;8;11;-999;-999;-999;-999
2016;1;8;12;-999;-999;-999;-999
2016;1;8;13;-999;-999;-999;-999
2016;1;8;14;-999;-999;-999;-999
2016;1;8;15;-999;-999;-999;-999
2016;1;8;16;-999;-999;-999;-999
2016;1;8;17;-999;-999;-999;-999
2016;1;8;18;-999;-999;-999;-999
2016;1;8;19;-999;-999;-999;-999
2016;1;8;20;-999;-999;-999;-999
2016;1;8;21;-999;-999;-999;-999
2016;1;8;22;-999;-999;-999;-999
2016;1;8;23;-999;-999;-999;-999
2016;1;9;0;-999;-999;-999;-999
2016;1;9;1;-999;-999;-999;-999
2016;1;9;2;-999;-999;-999;-999
2016;1;9;3;-999;-999;-999;-999
2016;1;9;4;-999;-999;-999;-999
2016;1;9;5;-999;-999;-999;-999
2016;1;9;6;-999;-999;-999;-999
2016;1;9;7;-999;-999;-999;-999
2016;1;9;8;-999;-999;-999;-999
2016;1;9;9;-999;-999;-999;-999
2016;1;9;10;-999;-999;-999;-999
2016;1;9;11;-999;-999;-999;-999
2016;1;9;12;-999;-999;-999;-999
2016;1;9;13;-999;-999;-999;-999
2016;1;9;14;-999;-999;-999;-999
2016;1;9;15;-999;-999;-999;-999
2016;1;9;16;-999;-999;-999;-999
2016;1;9;17;-999;-999;-999;-999
2016;1;9;18;-999;-999;-999;-999
2016;1;9;19;-999;-999;-999;-999
2016;1;9;20;-999;-999;-999;-999
2016;1;9;21;-999;-999;-999;-999
2016;1;9;22;-999;-999;-999;-999
2016;1;9;23;-999;-999;-999;-999
2016;1;10;0;-999;-999;-999;-999
2016;1;10;1;-999;-999;-999;-999
2016;1;10;2;-999;-999;-999;-999
2016;1;10;3;-999;-999;-999;-999
2016;1;10;4;-999;-999;-999;-999
2016;1;10;5;-999;-999;-999;-999
2016;1;10;6;-999;-999;-999;-999
2016;1;10;7;-999;-999;-999;-999
2016;1;10;8;-999;-999;-999;-999
2016;1;10;9;-999;-999;-999;-999
2016;1;10;10;-999;-999;-999;-999
2016;1;10;11;-999;-999;-999;-999
2016;1;10;12;-999;-999;-999;-999
2016;1;10;13;-999;-999;-999;-999
2016;1;10;14;-999;-999;-999;-999
2016;1;10;15;-999;-999;-999;-999
2016;1;10;16;-999;-999;-999;-999
2016;1;10;17;-999;-999;-999;-999
2016;1;10;18;-999;-999;-999;-999
2016;1;10;19;-999;-999;-999;-999
2016;1;10;20;-999;-999;-999;-999
2016;1;10;21;-999;-999;-999;-999
2016;1;10;22;-999;-999;-999;-999
2016;1;10;23;-999;-999;-999;-999
2016;1;11;0;-999;-999;-999;-999
2016;1;11;1;-999;-999;-999;-999
2016;1;11;2;-999;-999;-999;-999
2016;1;11;3;-999;-999;-999;-999
2016;1;11;4;-999;-999;-999;-999
2016;1;11;5;-999;-999;-999;-999
2016;1;11;6;-999;-999;-999;-999
2016;1;11;7;-999;-999;-999;-999
2016;1;11;8;-999;-999;-999;-999
2016;1;11;9;-999;-999;-999;-999
2016;1;11;10;-999;-999;-999;-999
2016;1;11;11;-999;-999;-999;-999
2016;1;11;12;-999;-999;-999;-999
2016;1;11;13;-999;-999;-999;-999
2016;1;11;14;-999;-999;-999;-999
2016;1;11;15;-999;-999;-999;-999
2016;1;11;16;-999;-999;-999;-999
2016;1;11;17;-999;-999;-999;-999
2016;1;11;18;-999;-999;-999;-999
2016;1;11;19;-999;-999;-999;-999
2016;1;11;20;-999;-999;-999;-999
2016;1;11;21;-999;-999;-999;-999
2016;1;11;22;-999;-999;-999;-999
2016;1;11;23;-999;-999;-999;-999
2016;1;12;0;-999;-999;-999;-999
2016;1;12;1;-999;-999;-999;-999
2016;1;12;2;-999;-999;-999;-999
2016;1;12;3;-999;-999;-999;-999
2016;1;12;4;-999;-999;-999;-999
2016;1;12;5;-999;-999;-999;-999
2016;1;12;6;-999;-999;-999;-999
2016;1;12;7;-999;-999;-999;-999
2016;1;12;8;-999;-999;-999;-999
2016;1;12;9;-999;-999;-999;-999
2016;1;12;10;-999;-999;-999;-999
2016;1;12;11;-999;-999;-999;-999
2016;1;12;12;-999;-999;-999;-999
2016;1;12;13;-999;-999;-999;-999
2016;1;12;14;-999;-999;-999;-999
2016;1;12;15;-999;-999;-999;-999
2016;1;12;16;-999;-999;-999;-999
