year;month;day;hour;NO2;NOx;O3;PM10;PM25;SO2;NO
2016;1;1;0;3.77871635814723;3.60522456121725;48.4588033439191;21.9648586794535;19.328858968544;7.57121091141796;-0.145188829316743
2016;1;1;1;4.40984494832097;6.24583315691318;48.2237249175;24.5935250266393;21.8215450963974;7.68181475068978;1.19742536407662
2016;1;1;2;4.34027876325021;5.75795138086541;44.4778830729364;24.8805400692622;22.1790489837646;7.01925236193041;0.924601335860958
2016;1;1;3;3.9383437448026;5.54292197514975;40.2699259416841;23.3266087860107;20.7027490598679;6.5177437419476;1.04650055085925
2016;1;1;4;3.73826130134281;5.35717848053208;34.3619730920307;22.3409809637705;19.8153731451035;6.7863770403718;1.0558523652976
2016;1;1;5;3.96026422434423;5.75804797152363;41.9635839903475;23.0907116346995;20.4977960365295;7.09060617147027;1.17250854222422
2016;1;1;6;4.21026868189613;5.15341505162871;41.5646161566008;22.3701713525136;19.8498200456619;6.98830346771107;0.615116905364289
2016;1;1;7;3.60859597479257;5.34923687678659;41.1320865402026;21.477142678388;18.9938320882797;6.45484629732211;1.13524016986744
2016;1;1;8;3.52630123681711;5.5644100065091;36.6374695710863;21.8110856229782;19.320878912735;6.87343559604612;1.32924771747172
2016;1;1;9;3.56435384488864;5.78679608552082;42.8562988497893;19.8698585728963;17.4659279218674;7.08500056037604;1.4494693902031
2016;1;1;10;3.50771998202673;5.36324402232098;48.0030453689895;18.2495857295354;15.8703269817352;7.53947570933139;1.21016656812078
2016;1;1;11;3.44362781070199;5.56439128819136;48.292461920793;18.3585256656011;15.9616978406906;7.46555405177688;1.38315484122869
2016;1;1;12;3.70973685496769;5.76355235027439;50.5274495398748;17.7166178115845;15.2428330030441;7.69965114695393;1.33949159134281
2016;1;1;13;4.15098646852907;6.42926162762758;46.3764751411467;18.3108993077596;15.8479829776764;8.62615975489654;1.48588343273841
2016;1;1;14;3.88861233446344;6.09962187111145;44.317321225705;17.4231779818853;14.7176159807205;8.32435248213858;1.44201301893309
2016;1;1;15;4.23799957063618;6.60074494616896;45.4198923695156;19.5597986155192;16.8792650152206;7.93406736468011;1.54097462515135
2016;1;1;16;4.28881647472299;6.22086815629358;47.6943249336914;19.3526728966395;16.6309539381027;7.24745731549901;1.26007763960174
2016;1;1;17;4.27730753512049;6.34117458259412;46.636616866435;17.7606126464208;14.9119289381027;7.53705953326762;1.34604718002072
2016;1;1;18;3.77411444901784;6.17244125916243;43.5420726546733;16.0781880458196;13.4909570248604;6.99862140352507;1.56418071770413
2016;1;1;19;3.57341341210424;5.63599535028024;42.3364284673071;15.822318623511;13.289196087265;7.23020879263557;1.34520903603842
2016;1;1;20;3.86952491100123;6.17423463793884;37.6461077894327;17.0344856229782;14.4258140750885;6.78985531241209;1.50312396939916
2016;1;1;21;3.9013296562687;6.36414985992013;32.4667286698608;16.7513813365301;14.2213931146622;7.24055110899047;1.60624309307183
2016;1;1;22;3.34877230997008;5.72252575294762;33.8211241314521;13.7567884185791;11.4839870172501;6.81731398026055;1.54815404989174
2016;1;1;23;2.65483731380595;4.92181426059026;34.4672459213625;10.466241653347;8.47552698173524;7.07018289099899;1.47851477648538
2016;1;2;0;2.61344561014845;5.04985488422189;29.4467688494445;9.99249231894811;8.04726699695587;7.15360694253826;1.58901797320585
2016;1;2;1;2.51909491932501;4.23919420370678;23.6498841101728;9.21343161605199;7.3177620426178;6.8305389507623;1.12184299561928
2016;1;2;2;2.2987459573714;3.99507043996317;27.0662518210833;9.55268198881149;7.64401103906632;6.50622024102958;1.10633714947277
2016;1;2;3;2.35332931248255;4.23979756197468;33.4169251148123;10.6049307108879;8.63526001014709;6.26746025112292;1.23034827778069
2016;1;2;4;2.98865912164398;5.09245438584615;30.8061126746654;13.9530201170323;11.7456115388385;7.3337168463485;1.37208822932014
2016;1;2;5;3.62909915296237;6.1966322834984;31.5719244738491;20.3617315888162;17.7926933132107;6.33123128992625;1.67453651348244
2016;1;2;6;3.36187772132538;5.51915004550707;22.6413077665411;17.7260373920158;15.3482132172055;6.47600573511832;1.40696578883607
2016;1;2;7;2.76594877113186;4.64664553638286;35.6189056663052;13.5224056106701;11.3847199802399;6.33866051505327;1.2265841350774
2016;1;2;8;2.6752386839667;4.47844248143305;58.638339277816;8.31126260206434;6.38593447234895;6.93456610388962;1.17604348087895
2016;1;2;9;2.58547766607189;4.34585542697986;62.2279641511153;7.61459747259957;5.70394002473354;6.50676206504191;1.14811248318632
2016;1;2;10;2.85889114591585;4.51416131004489;64.5404363665019;9.41858487643028;7.35107712173462;7.07010892242775;1.07956166039169
2016;1;2;11;3.10522885398227;5.18291205571876;63.8166826038012;10.4589861374548;8.33517592498004;7.82166329292859;1.35505802958441
2016;1;2;12;3.2733834635051;5.66278659463078;64.9194338113363;11.9519957068648;9.64848246955871;7.5874987650479;1.55836072411805
2016;1;2;13;6.05653869855896;8.91874280260601;37.403836352913;41.2181587075351;37.4534201431274;7.36209905935488;1.86671993605997
2016;1;2;14;7.57540088956368;10.8789949083665;30.590759856547;50.669492825007;46.2651980672287;7.80816450522981;2.15459296100789
2016;1;2;15;7.69082480176969;10.8445738428145;31.5878211898666;49.9033598776499;45.7092760162354;7.64035634394917;2.05686456808726
2016;1;2;16;5.59194974957954;8.20661645800777;33.9565907189463;44.3678109957377;40.5680278457642;7.84437420859733;1.70527687521444
2016;1;2;17;5.92743915282433;8.08793813178621;35.0106917377848;46.8576482958476;38.8670910060883;7.61981375498946;1.40907020228319
