year;month;day;hour;O3;PM10;PM25
2016;1;1;0;50.26;29.5293449946721;26.3185410821915
2016;1;1;1;48.350746858145;37.2839176251094;33.3683388975143
2016;1;1;2;44.7157810773544;26.192568583552;23.1902480690002
2016;1;1;3;42.9211428738537;29.1515467252731;26.1119920730591
2016;1;1;4;47.1577742904157;21.8360859291395;19.2840379700661
2016;1;1;5;50.6670543488046;16.5280543530464;14.2208610136986
2016;1;1;6;59.3995103395187;9.69737669730187;7.7691640370369
2016;1;1;7;66.2209239963548;8.91482428778012;4.594587023592
2016;1;1;8;62.1649834409702;13.1735403288047;11.0546630842209
2016;1;1;9;60.7307315014701;19.0396800586065;16.6433229358196
2016;1;1;10;58.9579759120448;25.4413017006318;22.64281984272
2016;1;1;11;53.0677983809329;17.2397956602732;14.8664430766106
2016;1;1;12;51.8999892262442;18.7688663871447;16.1862018802643
2016;1;1;13;62.3149136487443;12.8331727103551;10.4626800494671
2016;1;1;14;64.8477937909128;12.2131922923088;9.83398897995949
2016;1;1;15;76.3203876449322;7.62779597975413;5.47451498668194
2016;1;1;16;53.982398637867;17.5663362752597;14.8998260923386
2016;1;1;17;42.7309592346201;17.8948322949727;15.3782270578384
2016;1;1;18;46.1461582565831;25.9809737353961;23.0144220781326
2016;1;1;19;43.8259919170076;25.8283179445902;22.855885975647
2016;1;1;20;42.9910252503321;54.069895553716;49.5386118143082
2016;1;1;21;43.257335940587;31.1133047391256;28.0065769563675
2016;1;1;22;54.7352832091166;37.9779213258744;34.5935352638245
2016;1;1;23;55.6162960392552;15.1801314031283;12.831010975647
2016;1;2;0;56.931775719069;22.9383353567759;20.2532090573311
2016;1;2;1;60.1349916786467;10.8920853567759;8.81560800304412
2016;1;2;2;63.9798315867643;13.4908628926436;11.2444540903091
2016;1;2;3;63.8589408988881;13.0612483892759;10.8805660441399
2016;1;2;4;57.8407237654607;13.5998030151844;11.4326489330292
2016;1;2;5;59.5368304810321;31.1451486021995;28.0809241803646
2016;1;2;6;62.5768115943097;10.9673657015642;8.83675503678322
2016;1;2;7;67.5433114755504;12.1414036208471;9.86710603399277
2016;1;2;8;64.0644907903244;12.8784246671995;10.5016489837647
2016;1;2;9;49.2116762421538;14.2943653487841;12.0133269944191
2016;1;2;10;39.9379488152395;14.5538660410245;12.2737410060883
2016;1;2;11;42.9846310299017;18.3237487487157;15.8551649518013
2016;1;2;12;32.8560884482131;21.2708550586065;18.6967100355148
2016;1;2;13;30.0397173660346;21.5140147497813;18.8685459604263
2016;1;2;14;31.1985250438115;27.7045998934428;24.6576370172501
2016;1;2;15;31.8470852829862;26.8735834665298;24.0792201471329
2016;1;2;16;33.9759681862711;27.5038990948359;24.4650530487061
2016;1;2;17;33.7707072377516;28.1138233493169;24.8878600862503
2016;1;2;18;33.6968032701659;32.8957306442896;26.3464710111618
2016;1;2;19;37.3464969447795;30.2839638977051;24.579831961441
2016;1;2;20;42.89423382665;26.1523448350271;22.1952750253677
2016;1;2;21;43.697811774185;26.7429949413935;22.5579659553528
2016;1;2;22;42.3204336831368;32.4063387646993;24.8326650405884
2016;1;2;23;38.612164353166;34.6134910277049;28.663198094368
2016;1;3;0;31.500163679508;33.939180431366;30.5720138721466
2016;1;3;1;26.8183524413809;33.7298200213114;30.5548570121765
2016;1;3;2;23.1756312086901;33.9035653887431;30.8051629573822
2016;1;3;3;23.9387179486153;29.4213825345357;26.6044908031464
2016;1;3;4;31.1876597609698;27.5721960063934;24.7938290395737
2016;1;3;5;39.4859381250954;27.6678675185521;24.9352080284119
2016;1;3;6;43.0836528993354;26.1269252662023;23.4489330284119
2016;1;3;7;45.0376034177647;25.853038977623;22.8624030233383
2016;1;3;8;47.9128495101278;26.6388037806829;23.361817937088
2016;1;3;9;50.4361181432206;26.9798696485519;23.4799219259262
2016;1;3;10;50.3858767749893;26.5118467252731;23.4761980182648
2016;1;3;11;49.0640173418818;25.5094590255737;22.7935090192795
2016;1;3;12;49.8811697190417;25.0231396165848;22.3437030740738
2016;1;3;13;52.2406770230122;26.3625429978689;23.6211680131912
2016;1;3;14;54.5063972681238;24.9350100106557;22.124253048706
2016;1;3;15;51.460205196415;26.5674339722951;23.714002007103
2016;1;3;16;50.5156009262494;26.9110139243444;24.1356120426178
2016;1;3;17;50.4872548262001;27.5976153621038;24.8104540142059
2016;1;3;18;49.9788761562354;29.1638371138255;26.287817937088
2016;1;3;19;50.9813377485234;30.7389980831146;27.8005599086762
2016;1;3;20;50.3954759022781;33.1943381790161;30.035093038559
