year;month;day;hour;O3;PM10;PM25
2016;1;1;0;-999;11.9643063365301;9.75658300304413
2016;1;1;1;-999;14.8736039699554;12.5102759559631
2016;1;1;2;61.7827118695792;15.1671639801979;12.8291399791718
2016;1;1;3;62.7499999364217;15.4728959276199;12.9891960124969
2016;1;1;4;58.2446665445963;16.8925450247526;14.3183550066948
2016;1;1;5;59.5713332494099;14.9663882466192;12.6936573944092
2016;1;1;6;61.530333328247;14.3404329748983;12.1212730054441
2016;1;1;7;64.5573332468668;13.2100756393433;11.1323280220725
2016;1;1;8;59.6770001093546;14.6322225358486;12.3575186090469
2016;1;1;9;56.500333404541;15.0817779904058;12.7609362130892
2016;1;1;10;61.0283332824707;15.0395369952202;12.2711280017853
2016;1;1;11;67.5773335138956;16.1758289528847;12.9437999404907
2016;1;1;12;71.3843331654866;13.568693959713;11.111736006546
2016;1;1;13;73.4726668039957;11.923862987709;9.80258403511047
2016;1;1;14;75.9556672414143;10.5620310061455;8.61339598274231
2016;1;1;15;75.1153333028157;10.7290380047798;8.58188404998779
2016;1;1;16;73.8279998779296;11.0872169576645;8.94630002975464
2016;1;1;17;71.3700004577636;11.9120489904404;9.4512719833374
2016;1;1;18;72.8653334299723;12.7569289699554;10.1354879631042
2016;1;1;19;61.4763333638509;14.6784939426422;11.8798800029755
2016;1;1;20;67.6923336029052;14.6398299795151;11.9547600208282
2016;1;1;21;69.6950000762939;12.8761429842949;10.6660440410614
2016;1;1;22;69.9846670786539;13.7480520020485;11.4145319892883
2016;1;1;23;68.9993326822916;15.078737987709;12.6639359321594
2016;1;2;0;70.4169999440511;13.059081040287;10.9098720279694
2016;1;2;1;64.6886665980021;12.6176670088768;10.5863280315399
2016;1;2;2;-999;12.9466690621376;10.8237600357056
2016;1;2;3;65.6328812292066;12.334131040287;10.3031879333496
2016;1;2;4;61.8246664683024;12.7030499317169;10.7030160392761
2016;1;2;5;61.432666460673;12.7674900751114;10.6819559886932
2016;1;2;6;63.7820002873738;13.225193052578;11.1877079750061
2016;1;2;7;66.0680000305175;12.8895680867195;10.7679120220184
2016;1;2;8;63.7956667582194;14.6435889972687;12.1285439666748
2016;1;2;9;66.7546666463216;13.4493009754181;11.3619600208282
2016;1;2;10;65.8166665395101;16.5916458934784;13.8952440559387
2016;1;2;11;68.6033335367838;14.9301679672241;12.6049679958344
2016;1;2;12;66.3890003204345;15.7771959788322;13.4007240291595
2016;1;2;13;64.0023333867391;16.1480840689659;13.8411119922638
2016;1;2;14;60.025666809082;17.2999490416527;14.753400044632
2016;1;2;15;56.816333134969;18.4217421625137;15.7943879928589
2016;1;2;16;58.5363333384195;19.2025400068283;16.5007560630798
2016;1;2;17;58.7136667887369;19.2426360027313;16.4569199523926
2016;1;2;18;59.8126667658487;18.0406510266304;15.5081280166626
2016;1;2;19;62.2496665318807;17.1052252063751;14.7157957305908
2016;1;2;20;63.9729999542236;15.7790467824036;13.5886392270934
2016;1;2;21;66.8686669667561;-999;-999
2016;1;2;22;65.7120002110799;-999;-999
2016;1;2;23;64.4919998804728;12.9642847163256;11.2006375889498
2016;1;3;0;60.8563332875569;10.1600047541079;8.74088865528936
2016;1;3;1;61.0403334299723;8.42296113766564;7.24130666732788
2016;1;3;2;58.744999885559;6.23564488981355;5.35537132277579
2016;1;3;3;-999;3.78462256430565;3.18118725683334
2016;1;3;4;53.6023727029056;3.1176;2.56496399345398
2016;1;3;5;51.8549999872843;3.10507000341415;2.60115599241257
2016;1;3;6;44.4096665700276;7.53478296551704;6.45264000148773
2016;1;3;7;42.3709996541341;13.3947059890747;11.5759919803619
2016;1;3;8;36.5076667467753;20.9907501194954;18.2003761196137
2016;1;3;9;33.4736668268839;29.3967690792084;25.5110039726257
2016;1;3;10;35.6503335316975;32.9611958593369;28.6019879631042
2016;1;3;11;37.7126665751139;33.6553579740524;29.2217758964539
2016;1;3;12;38.9213329950968;34.1676559549332;29.6648158309936
2016;1;3;13;41.6093333562215;32.8203230150223;28.4690759559631
2016;1;3;14;45.0863334019978;30.9823510437012;26.8271761940002
2016;1;3;15;47.4596665064493;28.3027209617615;24.5172840202332
2016;1;3;16;47.3033332824707;26.6492978784561;23.0827079154968
2016;1;3;17;47.4616668065389;25.1628820669174;21.7244159500122
2016;1;3;18;48.6346666336059;24.5242099590302;21.2044681594849
2016;1;3;19;50.0746666590372;25.4079329057693;21.9971040916443
2016;1;3;20;51.1306666056315;24.7379360710144;21.4458
2016;1;3;21;55.585666847229;22.5369519166946;19.5313680999756
2016;1;3;22;57.4996666590372;21.8243529262543;18.8877119476318
2016;1;3;23;57.785666847229;22.118091991806;19.134036051178
2016;1;4;0;57.2093332290649;22.0242960300446;19.0816200119019
2016;1;4;1;56.4143333435058;21.6124169235229;18.7011359916687
2016;1;4;2;55.9716668446858;21.2653360710144;18.3906960273743
2016;1;4;3;54.1986665089925;20.3177099931717;17.5952520606995
2016;1;4;4;-999;19.4552879535675;16.8330359024048
2016;1;4;5;49.269491551286;20.0266560232163;17.2776360214233
2016;1;4;6;48.0853333155314;20.6706979808807;17.8670038536072
2016;1;4;7;48.3846666336059;21.227208915329;18.3002160690308
2016;1;4;8;48.1093332290649;21.634612919426;18.6098758964539
2016;1;4;9;45.4100001653035;22.2262079740524;18.9856799285889
2016;1;4;10;42.3429999669392;22.7546161529541;19.2571200119019
2016;1;4;11;41.2113334019978;22.0441649385452;18.9242160095215
2016;1;4;12;42.0293333053588;20.9621098566055;18.1002239845276
2016;1;4;13;45.6016667048136;19.7180600273132;16.9943399047852
2016;1;4;14;48.007999865214;17.2219050819397;14.8942680553436
2016;1;4;15;53.209000078837;13.1680920771599;11.3862960273743
2016;1;4;16;57.6480000813802;9.385285044384;8.06287196846008
2016;1;4;17;57.5963333765665;7.16801200375557;6.13752004165649
2016;1;4;18;52.8603333791097;6.43214299283028;5.49433201160431
2016;1;4;19;56.1150000254313;8.59106200375557;7.13638805236817
2016;1;4;20;46.936333211263;9.01421797575951;7.34511598720551
2016;1;4;21;50.8319997787475;12.4159340006828;10.1183280092239
2016;1;4;22;49.9363334655761;11.5692640143394;9.54690000743866
2016;1;4;23;39.8926663716634;10.1342210129738;8.58469203987121
2016;1;5;0;47.3683331807454;10.3010490416527;8.47892401428223
2016;1;5;1;46.5573333104451;12.0418239733696;10.0192680107117
2016;1;5;2;36.8166664123535;13.1020409822464;11.0466839607239
2016;1;5;3;43.480333328247;10.7327969713211;9.1088520532608
2016;1;5;4;48.7129998524983;16.4253549453735;13.9091280612946
2016;1;5;5;-999;8.08395501365662;6.75605999851227
2016;1;5;6;49.4938984240515;6.25582801160812;5.29231198482513
