year;month;day;hour;NO2;NOx;O3;PM25;SO2;NO
2016;1;1;0;15.3;21.68208;8.97;44.32;5.57;-999
2016;1;1;1;13.1508109773857;20.0505704;8.00353818405849;62.1053;5.34126355466799;4.5
2016;1;1;2;21.2262657931034;46.286652;5.30556126508437;57.6437;5.86434960891995;16.3443
2016;1;1;3;15.9553426970329;21.8757656;6.9606629469521;58.5017;7.28961924113829;3.86128
2016;1;1;4;18.4886804458701;24.925788;6.29451118576887;56.0993;44.7261030254618;4.19826
2016;1;1;5;14.9111699047314;18.1129496;9.27301975951161;50.9656;40.889489805292;2.08819
2016;1;1;6;12.8223037716119;15.3128256;12.4355575242879;48.792;20.5221034581461;1.62431
2016;1;1;7;24.9242239012029;30.4738384;6.00616784900327;48.792;108.391692461308;3.61944
2016;1;1;8;12.1451859143544;13.3587616;17.2053574760351;49.2067;37.9865944150441;0.79149
2016;1;1;9;9.52886629222133;11.7398712;20.583458093326;50.6653;32.2565356531868;1.44201
2016;1;1;10;5.62195654441059;7.99774304;23.1609078792474;48.9207;9.38700481278082;1.54948
2016;1;1;11;6.13266335133922;8.82068696;24.5177637206336;41.6277;13.0188756065901;1.75312
2016;1;1;12;5.74915681392141;7.78927768;26.7233033522754;40.8126;16.8199066400399;1.33056
2016;1;1;13;4.41934511313553;5.42715464;29.4104992023643;42.929;12.8697824862705;0.65729
2016;1;1;14;4.56391741292703;5.19639536;30.9309973653984;42.4142;15.8494772507904;0.4125
2016;1;1;15;4.83656629767442;5.2733916;30.6203235312415;47.6623;14.7544331402895;0.284896
2016;1;1;16;7.70929861267041;8.28135;27.5523701470417;50.222;13.506660449326;0.37309
2016;1;1;17;6.31692153404972;6.69704768;-999;52.6959;11.4362675153935;0.247917
2016;1;1;18;7.36239583563753;7.74811232;29.3735590378741;56.5855;-999;0.251563
2016;1;1;19;-999;-999;28.8449543078957;58.6876;10.7792190014977;-999
2016;1;1;20;6.93022465103448;7.25711072;27.0869102038248;58.8592;9.81064474621401;0.213194
2016;1;1;21;7.60620101209302;8.20194464;25.7880092289464;59.517;10.1203602329838;0.388542
2016;1;1;22;6.95978283708099;7.58454072;31.9671713145865;59.4741;13.6236645032451;0.407465
2016;1;1;23;7.6897592606255;8.10449;29.0478835828547;55.8562;12.3095217041105;0.270486
2016;1;2;0;6.462031800417;6.67924696;28.8873158880018;55.2985;12.0278488467299;0.141667
2016;1;2;1;7.07747919396953;7.56754304;27.0397380671316;52.7531;10.9277043235147;0.319618
