year;month;day;hour;O3;PM10;PM25
2016;1;1;0;71.97;23.1446230831146;20.0815059705734
2016;1;1;1;71.6261376560103;22.3155416944822;21.9893040023804
2016;1;1;2;75.3550583787269;15.1529375751019;14.3885160541534
2016;1;1;3;76.2222078397785;16.1122292378743;15.5600760154724
2016;1;1;4;77.0050101682988;13.5118749816418;12.8196240589142
2016;1;1;5;74.5882478652509;15.0367083767255;14.498340038681
2016;1;1;6;78.7537631682059;11.6064166922569;10.6587120815277
2016;1;1;7;78.0721171326682;11.8945833205382;10.9629119625092
2016;1;1;8;78.3395536635076;10.9988750278155;10.1069399196625
2016;1;1;9;76.6509979943052;12.5372708160877;11.6925239845276
2016;1;1;10;72.3661483044812;12.0949583172003;11.255567980957
2016;1;1;11;73.382304517385;12.3630000272592;11.6234160690308
2016;1;1;12;74.7432154672118;12.212208372275;11.4572759708405
2016;1;1;13;73.3872272031196;12.8276249527137;12.0365040023804
2016;1;1;14;70.5606008430027;13.6492499688466;13.0072920101166
2016;1;1;15;71.1301938219498;14.2286458233198;13.4720159351349
2016;1;1;16;70.5806650748088;13.3075625061194;12.3873479541779
2016;1;1;17;64.1585775464627;15.3597291210492;14.3590318851471
2016;1;1;18;66.9222743295245;26.910312523365;26.4239161582947
2016;1;1;19;73.1014250458231;16.108583404541;15.5360520755768
2016;1;1;20;78.1344640544711;12.8862499872049;12.0879839904785
2016;1;1;21;79.2443978017134;16.5342709540526;15.9786239547729
2016;1;1;22;74.9583984954785;13.4010416705608;12.8037120368957
2016;1;1;23;73.9282349739713;15.7314584790866;15.2421479839325
2016;1;2;0;71.9892645116118;17.6274375100136;17.2397280017853
2016;1;2;1;68.4467836854843;16.1408125300407;15.6787920398712
2016;1;2;2;66.8542920745526;19.596916665554;19.3749001487732
2016;1;2;3;60.3537751815684;21.5941042323112;21.6067922332764
2016;1;2;4;59.9348767141044;18.1151041566531;17.8738679512024
2016;1;2;5;65.6158990819222;15.2579375584126;14.8150199672699
2016;1;2;6;65.3039107491496;16.2143125155767;15.8369759708405
2016;1;2;7;61.5330999522691;16.6319791455269;16.2893760303497
2016;1;2;8;58.4943347337534;20.5887293357849;20.4686160095215
2016;1;2;9;54.6756392886419;21.2723957955042;21.1582920249939
2016;1;2;10;51.9644521710419;23.0718333978653;23.0276399940491
2016;1;2;11;49.7407464158686;27.7845833121936;27.9731520309448
2016;1;2;12;47.5713230876227;26.2712708611488;26.5460639785767
2016;1;2;13;45.5241186503414;28.1449374098778;28.3709520011902
2016;1;2;14;44.8055173451722;28.5685832320849;27.5103000892639
2016;1;2;15;44.5473388341433;29.7718540965716;25.232387903595
2016;1;2;16;40.3215771599584;26.5121874510447;26.4172079452515
2016;1;2;17;47.5840518202753;21.8284582554499;20.9748359916687
2016;1;2;18;49.0234739254105;19.8651041288376;19.6143599464417
2016;1;2;19;53.3653884861048;13.3871874510447;12.9879479690552
2016;1;2;20;48.0603085427636;14.0114999432564;13.3323960571289
2016;1;2;21;48.9917983547423;10.8967916527589;10.2273719610214
2016;1;2;22;54.1972922407091;7.44564581108093;6.65731197738647
2016;1;2;23;53.8339496521353;6.16989583861828;5.19621600208283
2016;1;3;0;60.0374310527447;6.45164582026005;5.42194799137116
2016;1;3;1;64.405696610998;4.67349998595317;3.69612000074387
2016;1;3;2;62.4846494540697;5.58466671895981;4.74443997917175
2016;1;3;3;59.2903315495852;7.66293752086163;6.87165601100922
2016;1;3;4;48.8044869103214;11.356458284378;10.7588639785767
2016;1;3;5;44.0013245448503;18.8992499688466;18.9384120071411
2016;1;3;6;39.344125912463;23.4056458611488;23.8199639785767
2016;1;3;7;42.6841762051119;23.5387917935054;23.9558400238037
2016;1;3;8;46.8062987209949;23.5500208277702;23.9789278678894
2016;1;3;9;49.18965218857;22.1912916321754;22.5101880226135
2016;1;3;10;49.7457230457946;19.9744791010221;20.110127897644
2016;1;3;11;49.3498622795384;20.4792083322207;20.6455199821472
2016;1;3;12;49.1137599437878;19.2730208733877;19.3326239845276
2016;1;3;13;51.3189098765897;18.3958333511353;18.4289160095215
2016;1;3;14;55.7393454180262;17.3299374321302;17.3146079452515
2016;1;3;15;57.9124193484326;17.1342291254997;17.0837280464172
2016;1;3;16;56.0324824384313;17.3467083155314;17.3350439369202
2016;1;3;17;53.2479289456049;17.8162916321754;17.8518720726013
2016;1;3;18;54.0354619811328;17.9863333244324;18.0446878738403
2016;1;3;19;54.5271610024088;18.9435833433469;19.0820880523682
2016;1;3;20;55.9676556716517;19.8753124732971;20.0625481178284
2016;1;3;21;53.9514085086121;20.5005000411669;20.6962198631287
2016;1;3;22;54.7016095184774;21.2742915609678;21.4762198928833
2016;1;3;23;55.8480378285209;22.6063333133062;22.8859919952393
2016;1;4;0;56.4299621584996;21.8948125222524;22.1652721916199
2016;1;4;1;58.0322213817165;21.2455625712077;21.5106959976196
2016;1;4;2;56.1566977665607;20.7488541622162;21.0066600357056
2016;1;4;3;50.3032530270063;19.8871250211398;19.9623961166382
2016;1;4;4;53.7087884937924;16.7789791722298;16.6297680702209
2016;1;4;5;54.2975333952838;15.8625625867844;15.6861241035461
2016;1;4;6;43.8486665988671;15.2939582704703;15.1123560630798
2016;1;4;7;42.2093172016896;15.1930415887833;15.0429359916687
2016;1;4;8;54.2815313132868;17.5565625011126;17.5640520011902
2016;1;4;9;42.7383391323709;18.3144583244324;18.4031759857178
2016;1;4;10;49.9518044212379;17.5644374588331;17.6230200714111
2016;1;4;11;50.2020470322385;16.2582082409859;16.2343079750061
2016;1;4;12;50.4846445231043;13.6159999449253;13.4033760303497
2016;1;4;13;52.0208909423831;12.1826041399638;11.8694279125214
2016;1;4;14;50.3371485230285;10.0859584112167;9.622872057724
2016;1;4;15;46.9488557749055;11.6895416477521;11.2727280017853
2016;1;4;16;42.840844388393;12.4001875578562;11.9028119922638
2016;1;4;17;39.9234403943218;14.8450833160877;13.6996200119018
2016;1;4;18;42.2966180027523;13.320250087897;13.0292879631042
2016;1;4;19;48.7885674779999;12.2593125461737;11.76490806427
2016;1;4;20;53.2239494328903;8.71162500472864;8.11606798839569
2016;1;4;21;46.1740320703491;12.3834166466395;11.6897160095215
2016;1;4;22;39.7482113329527;26.3745210269292;22.0637160392761
2016;1;4;23;39.2105412710684;30.3424999454816;25.5225479393005
2016;1;5;0;37.6741459394795;34.3527708589236;29.3153757774353
2016;1;5;1;43.0694539923492;24.0018125155767;23.6507041511536
2016;1;5;2;36.279869510312;27.3158749321302;22.8850559440613
2016;1;5;3;38.5304536670636;19.4150625367165;17.6250479690552
2016;1;5;4;42.5183750832412;16.7700833299955;16.391867980957
2016;1;5;5;48.7650996963182;13.4608333149751;12.5188559886932
2016;1;5;6;40.3590702209875;16.8819374977748;14.7214199970245
2016;1;5;7;51.207487018864;9.83308333945275;8.89669199523926
2016;1;5;8;46.4581523542546;14.1888333995342;13.3175759708405
2016;1;5;9;41.963894858795;16.6340209006468;15.2916000297546
2016;1;5;10;47.557865901271;20.1153541544278;17.0564280315399
2016;1;5;11;48.8310542582146;19.9582916755676;15.6667799732208
2016;1;5;12;48.4619407694986;22.2068958222071;18.6710279571533
2016;1;5;13;46.275137819695;18.3372082888285;16.5069960422516
2016;1;5;14;46.0506334858368;18.3940833110809;17.8353360809326
2016;1;5;15;53.0819002259953;11.438999976635;10.6665119922638
2016;1;5;16;50.3690621814557;13.0971249947151;10.763699977684
2016;1;5;17;36.5498551922423;16.0257499415874;12.9760920101166
2016;1;5;18;35.662994477722;16.3196042556763;13.296204032135
2016;1;5;19;39.6102696412088;15.3665833750566;12.4609800178528
2016;1;5;20;39.8605033101056;16.5462291577657;13.2851280017853
2016;1;5;21;42.9296716896948;14.2538750389417;12.068327986908
2016;1;5;22;39.8519867501598;16.5405416805744;13.4857439666748
2016;1;5;23;42.5161851958415;15.6557708322207;12.7037159872055
2016;1;6;0;32.2133338255061;27.6674792189598;23.1906600059509
2016;1;6;1;26.2069966533644;44.7967707732519;38.1226680107117
2016;1;6;2;28.7597847296371;36.2488960603078;30.6685201904297
2016;1;6;3;38.2428813543536;16.1033333400091;13.1061959827423
2016;1;6;4;29.4664039518591;30.5317917028268;28.2324240440369
2016;1;6;5;31.5689200075947;38.1122085113525;36.2060519416809
2016;1;6;6;33.7497830660423;23.8768333533605;19.5932998809814
