year;month;day;hour;NO2;NOx;O3;PM10;PM25;NO
2016;1;1;0;4.87;14.03408;62.67;28.898051730601;25.6702988061905;-999
2016;1;1;1;4.86763337891896;6.10087336524327;62.5457868280284;37.7691357978821;32.3579998809814;0.804314991080761
2016;1;1;2;5.16399337360064;6.570906690979;61.2742154162098;38.9446289016724;33.4169279571533;0.917584156260887
2016;1;1;3;4.8875500018994;6.41117499430179;60.7483537521505;40.096493806076;34.4742961166382;0.993703120044867
2016;1;1;4;4.9353499943018;6.18412502089341;60.7274804548944;41.4443637241364;35.6149682785034;0.814446892342963
2016;1;1;5;4.86922677911123;6.22834010028839;59.0565493997354;47.2872819644928;40.7239680404663;0.886409158738454
2016;1;1;6;5.00306668186188;6.3096000075976;58.0142708249039;48.0188549453735;41.4164522094727;0.852116661711534
2016;1;1;7;4.92818000683784;6.00527335004806;57.3461340290981;50.0114828716278;42.8855039428711;0.702476673108338
2016;1;1;8;4.53303335612615;5.79176666666666;58.5710946875233;45.3866600955963;38.8238879333496;0.820941651801268
2016;1;1;9;4.16497333865166;5.42211331357956;57.9628786430932;42.565083008194;36.5047919952393;0.819902483648062
2016;1;1;10;3.97695997568766;5.13690665299098;58.4132317766867;43.2588870464325;37.0645200119019;0.756513340270519
2016;1;1;11;3.70609332421621;4.77840665299098;59.6610064759723;43.5592489562988;37.2198961166382;0.699359163693587
2016;1;1;12;3.45116000607808;4.50435332269668;-999;34.8845510095596;29.56840806427;0.686889155765374
2016;1;1;13;3.54675999848048;4.85807333485285;69.7508492478839;23.5431110368729;18.8053440261841;0.85523416864872
2016;1;1;14;3.5611;4.72104666970571;69.9707155380243;17.2983379535675;12.6952920398712;0.756513335315386
2016;1;1;15;2.98112666514714;4.14107333485285;71.5524775699852;15.4508789870262;11.5321559738159;0.756513335315386
2016;1;1;16;2.68317330446243;3.72839996960958;71.2921831427945;15.7084600273132;11.842596012497;0.681693332342308
2016;1;1;17;3.0703533435901;4.15381999696096;70.7745538895462;15.6882329911232;11.9560080345154;0.706633324661851
2016;1;1;18;3.37627329876423;4.49001330598195;68.8838783005426;17.7164820498467;13.4417520011902;0.726377504707376
2016;1;1;19;2.68157998024623;3.60252664995194;71.2055782215703;17.5108110198021;13.1941800327301;0.600638335315386
2016;1;1;20;2.19561332117716;3.0942533454895;73.8389692053946;17.2247690279961;12.8472360660553;0.586090015856425
2016;1;1;21;2.35494667730331;3.31254000911713;71.9003982709229;16.6496419235229;12.8119800178528;0.624539165675641
2016;1;1;22;2.29758664653301;3.05282665754954;71.8244514260462;16.1736810061455;13.1083799880981;0.492565007184943
2016;1;1;23;2.28165331889788;3.28385999848048;73.4927814755324;16.9782859685898;14.3874239994049;0.653635841757059
2016;1;2;0;2.16374667540391;2.97316002127329;73.1428944090393;17.7936310573578;15.0847439964294;0.527896674842635
2016;1;2;1;2.64015331509908;3.58021998936335;67.9212921707763;20.9245201229095;17.7528119773865;0.613108338288466
2016;1;2;2;2.83613327255249;3.75548664083481;68.2188203560048;20.672487919426;17.555472057724;0.599599189460277
2016;1;2;3;3.23287334434986;4.29881334396998;59.997526853721;25.2278591543198;21.6384600059509;0.695202499752244
2016;1;2;4;3.02574003570874;4.24145336828232;60.4039031297314;23.0249059549332;19.7266800773621;0.792884166171153
2016;1;2;5;3.16754664311409;4.23189333181381;59.9608084171892;22.8410729808807;19.6335481773376;0.694163347703218
2016;1;2;6;3.4049533492883;4.40716002127329;62.3274340118235;19.1472289358139;16.4279039726257;0.653635836801926
2016;1;2;7;2.54614659372966;3.62801995137533;64.0601187024133;18.9540880047798;16.2502200565338;0.705594182523091
2016;1;2;8;2.57642003115018;3.72999336220423;62.4361456783094;22.0038899726868;18.7845959381103;0.752356665180127
2016;1;2;9;2.77717998024622;3.83833999392191;59.8375559240389;21.2930810232162;18.2206561225891;0.692085008919238
2016;1;2;10;3.44797335194747;4.65094001671473;55.9594325392933;19.4470539870262;16.4324279571533;0.78457083209455
2016;1;2;11;3.43044668110212;4.91702666514715;60.0924201546902;19.5888219371796;16.4299319446564;0.96954248959422
2016;1;2;12;2.61943999772072;3.79372666514714;69.0021385018064;17.4003678818703;14.5908480285645;0.765865833828847
2016;1;2;13;2.96519333751201;3.97695999848048;69.6624502445613;18.0519279091835;14.9797560035706;0.659870829616984
2016;1;2;14;3.7379600269715;4.850106690979;71.2640582677603;17.0593729467392;14.2485840202332;0.725338331599036
2016;1;2;15;4.25420001519521;5.44282667274475;70.8269985309151;17.7431530116081;15.0030000892639;0.775218327387174
2016;1;2;16;3.81284675327937;4.99032006533941;73.3130093817985;19.9614999317169;17.0328718345642;0.767944152792296
2016;1;2;17;5.09866674644152;6.30800673656464;71.157676694202;24.7671130901337;21.3381598571777;0.788727493558328
2016;1;2;18;4.31315333409309;5.35519334700902;73.195874069213;23.6426350955963;20.4238440261841;0.679615008423725
2016;1;2;19;4.19843336372375;5.30739334700902;72.5517714585951;23.809283915329;20.5291439964295;0.723259989098709
2016;1;2;20;4.11079992782275;5.24206662867864;72.3615694483615;23.1348119440079;20.0042039131165;0.737808355631429
2016;1;2;21;3.84311995897293;4.80867998024623;71.4079244867007;23.9098819986343;20.7263279571533;0.629735013874372
2016;1;2;22;3.51648665223121;4.68121329838435;70.9694662342405;21.8664180013657;18.934668070221;0.759630819954476
2016;1;2;23;3.12771335536639;3.9307533454895;72.6423816633271;17.0638479467392;14.7646319000244;0.523739993558327
2016;1;3;0;2.65608669781685;3.61686667426427;75.3250659941627;14.4846370293617;12.5110560035706;0.626617484639088
