year;month;day;hour;PM25
2016;1;1;0;71.947254335260368
2016;1;1;1;71.947254335260368
2016;1;1;2;71.947254335260368
2016;1;1;3;71.947254335260368
2016;1;1;4;71.947254335260368
2016;1;1;5;71.947254335260368
2016;1;1;6;71.947254335260368
2016;1;1;7;71.947254335260368
2016;1;1;8;71.947254335260368
2016;1;1;9;71.947254335260368
2016;1;1;10;71.947254335260368
2016;1;1;11;71.947254335260368
2016;1;1;12;71.947254335260368
2016;1;1;13;71.947254335260368
2016;1;1;14;71.947254335260368
2016;1;1;15;71.947254335260368
2016;1;1;16;71.947254335260368
2016;1;1;17;71.947254335260368
2016;1;1;18;71.947254335260368
2016;1;1;19;71.947254335260368
2016;1;1;20;71.947254335260368
2016;1;1;21;71.947254335260368
2016;1;1;22;71.947254335260368
2016;1;1;23;71.947254335260368
2016;1;10;0;64.509947070633757
2016;1;10;1;64.509947070633757
2016;1;10;2;64.509947070633757
2016;1;10;3;64.509947070633757
2016;1;10;4;64.509947070633757
2016;1;10;5;64.509947070633757
2016;1;10;6;64.509947070633757
2016;1;10;7;64.509947070633757
2016;1;10;8;64.509947070633757
2016;1;10;9;64.509947070633757
2016;1;10;10;64.509947070633757
2016;1;10;11;64.509947070633757
2016;1;10;12;64.509947070633757
2016;1;10;13;64.509947070633757
2016;1;10;14;64.509947070633757
2016;1;10;15;64.509947070633757
2016;1;10;16;64.509947070633757
2016;1;10;17;64.509947070633757
2016;1;10;18;64.509947070633757
2016;1;10;19;64.509947070633757
2016;1;10;20;64.509947070633757
2016;1;10;21;64.509947070633757
2016;1;10;22;64.509947070633757
2016;1;10;23;64.509947070633757
2016;1;11;0;9.0482210583348639
2016;1;11;1;9.0482210583348639
2016;1;11;2;9.0482210583348639
2016;1;11;3;9.0482210583348639
2016;1;11;4;9.0482210583348639
2016;1;11;5;9.0482210583348639
2016;1;11;6;9.0482210583348639
2016;1;11;7;9.0482210583348639
2016;1;11;8;9.0482210583348639
2016;1;11;9;9.0482210583348639
2016;1;11;10;9.0482210583348639
2016;1;11;11;9.0482210583348639
2016;1;11;12;9.0482210583348639
2016;1;11;13;9.0482210583348639
2016;1;11;14;9.0482210583348639
2016;1;11;15;9.0482210583348639
2016;1;11;16;9.0482210583348639
2016;1;11;17;9.0482210583348639
2016;1;11;18;9.0482210583348639
2016;1;11;19;9.0482210583348639
2016;1;11;20;9.0482210583348639
2016;1;11;21;9.0482210583348639
2016;1;11;22;9.0482210583348639
2016;1;11;23;9.0482210583348639
2016;1;12;0;22.256097560975562
2016;1;12;1;22.256097560975562
2016;1;12;2;22.256097560975562
2016;1;12;3;22.256097560975562
2016;1;12;4;22.256097560975562
2016;1;12;5;22.256097560975562
2016;1;12;6;22.256097560975562
2016;1;12;7;22.256097560975562
2016;1;12;8;22.256097560975562
2016;1;12;9;22.256097560975562
2016;1;12;10;22.256097560975562
2016;1;12;11;22.256097560975562
2016;1;12;12;22.256097560975562
2016;1;12;13;22.256097560975562
2016;1;12;14;22.256097560975562
2016;1;12;15;22.256097560975562
2016;1;12;16;22.256097560975562
2016;1;12;17;22.256097560975562
2016;1;12;18;22.256097560975562
2016;1;12;19;22.256097560975562
2016;1;12;20;22.256097560975562
2016;1;12;21;22.256097560975562
2016;1;12;22;22.256097560975562
