year;month;day;hour;PM10;PM25
2016;1;1;0;74.361338612572638;70.186380317081742
2016;1;1;1;74.361338612572638;70.186380317081742
2016;1;1;2;74.361338612572638;70.186380317081742
2016;1;1;3;74.361338612572638;70.186380317081742
2016;1;1;4;74.361338612572638;70.186380317081742
2016;1;1;5;74.361338612572638;70.186380317081742
2016;1;1;6;74.361338612572638;70.186380317081742
2016;1;1;7;74.361338612572638;70.186380317081742
2016;1;1;8;74.361338612572638;70.186380317081742
2016;1;1;9;74.361338612572638;70.186380317081742
2016;1;1;10;74.361338612572638;70.186380317081742
2016;1;1;11;74.361338612572638;70.186380317081742
2016;1;1;12;74.361338612572638;70.186380317081742
2016;1;1;13;74.361338612572638;70.186380317081742
2016;1;1;14;74.361338612572638;70.186380317081742
2016;1;1;15;74.361338612572638;70.186380317081742
2016;1;1;16;74.361338612572638;70.186380317081742
2016;1;1;17;74.361338612572638;70.186380317081742
2016;1;1;18;74.361338612572638;70.186380317081742
2016;1;1;19;74.361338612572638;70.186380317081742
2016;1;1;20;74.361338612572638;70.186380317081742
2016;1;1;21;74.361338612572638;70.186380317081742
2016;1;1;22;74.361338612572638;70.186380317081742
2016;1;1;23;74.361338612572638;70.186380317081742
2016;1;10;0;145.47443012346545;140.52275767325841
2016;1;10;1;145.47443012346545;140.52275767325841
2016;1;10;2;145.47443012346545;140.52275767325841
2016;1;10;3;145.47443012346545;140.52275767325841
2016;1;10;4;145.47443012346545;140.52275767325841
2016;1;10;5;145.47443012346545;140.52275767325841
2016;1;10;6;145.47443012346545;140.52275767325841
2016;1;10;7;145.47443012346545;140.52275767325841
2016;1;10;8;145.47443012346545;140.52275767325841
2016;1;10;9;145.47443012346545;140.52275767325841
2016;1;10;10;145.47443012346545;140.52275767325841
2016;1;10;11;145.47443012346545;140.52275767325841
2016;1;10;12;145.47443012346545;140.52275767325841
2016;1;10;13;145.47443012346545;140.52275767325841
2016;1;10;14;145.47443012346545;140.52275767325841
2016;1;10;15;145.47443012346545;140.52275767325841
2016;1;10;16;145.47443012346545;140.52275767325841
2016;1;10;17;145.47443012346545;140.52275767325841
2016;1;10;18;145.47443012346545;140.52275767325841
2016;1;10;19;145.47443012346545;140.52275767325841
2016;1;10;20;145.47443012346545;140.52275767325841
2016;1;10;21;145.47443012346545;140.52275767325841
2016;1;10;22;145.47443012346545;140.52275767325841
2016;1;10;23;145.47443012346545;140.52275767325841
2016;1;11;0;20.254880694143104;16.62117459915796
2016;1;11;1;20.254880694143104;16.62117459915796
2016;1;11;2;20.254880694143104;16.62117459915796
2016;1;11;3;20.254880694143104;16.62117459915796
2016;1;11;4;20.254880694143104;16.62117459915796
2016;1;11;5;20.254880694143104;16.62117459915796
2016;1;11;6;20.254880694143104;16.62117459915796
2016;1;11;7;20.254880694143104;16.62117459915796
2016;1;11;8;20.254880694143104;16.62117459915796
2016;1;11;9;20.254880694143104;16.62117459915796
2016;1;11;10;20.254880694143104;16.62117459915796
2016;1;11;11;20.254880694143104;16.62117459915796
2016;1;11;12;20.254880694143104;16.62117459915796
2016;1;11;13;20.254880694143104;16.62117459915796
2016;1;11;14;20.254880694143104;16.62117459915796
2016;1;11;15;20.254880694143104;16.62117459915796
2016;1;11;16;20.254880694143104;16.62117459915796
2016;1;11;17;20.254880694143104;16.62117459915796
2016;1;11;18;20.254880694143104;16.62117459915796
2016;1;11;19;20.254880694143104;16.62117459915796
2016;1;11;20;20.254880694143104;16.62117459915796
2016;1;11;21;20.254880694143104;16.62117459915796
2016;1;11;22;20.254880694143104;16.62117459915796
2016;1;11;23;20.254880694143104;16.62117459915796
2016;1;12;0;115.76492705941837;111.37423623413717
2016;1;12;1;115.76492705941837;111.37423623413717
2016;1;12;2;115.76492705941837;111.37423623413717
2016;1;12;3;115.76492705941837;111.37423623413717
2016;1;12;4;115.76492705941837;111.37423623413717
2016;1;12;5;115.76492705941837;111.37423623413717
2016;1;12;6;115.76492705941837;111.37423623413717
2016;1;12;7;115.76492705941837;111.37423623413717
2016;1;12;8;115.76492705941837;111.37423623413717
2016;1;12;9;115.76492705941837;111.37423623413717
2016;1;12;10;115.76492705941837;111.37423623413717
2016;1;12;11;115.76492705941837;111.37423623413717
2016;1;12;12;115.76492705941837;111.37423623413717
2016;1;12;13;115.76492705941837;111.37423623413717
2016;1;12;14;115.76492705941837;111.37423623413717
2016;1;12;15;115.76492705941837;111.37423623413717
2016;1;12;16;115.76492705941837;111.37423623413717
2016;1;12;17;115.76492705941837;111.37423623413717
2016;1;12;18;115.76492705941837;111.37423623413717
2016;1;12;19;115.76492705941837;111.37423623413717
2016;1;12;20;115.76492705941837;111.37423623413717
2016;1;12;21;115.76492705941837;111.37423623413717
2016;1;12;22;115.76492705941837;111.37423623413717
2016;1;12;23;115.76492705941837;111.37423623413717
2016;1;13;0;107.26746813703302;102.97360809833732
2016;1;13;1;107.26746813703302;102.97360809833732
2016;1;13;2;107.26746813703302;102.97360809833732
2016;1;13;3;107.26746813703302;102.97360809833732
2016;1;13;4;107.26746813703302;102.97360809833732
2016;1;13;5;107.26746813703302;102.97360809833732
2016;1;13;6;107.26746813703302;102.97360809833732
2016;1;13;7;107.26746813703302;102.97360809833732
2016;1;13;8;107.26746813703302;102.97360809833732
2016;1;13;9;107.26746813703302;102.97360809833732
2016;1;13;10;107.26746813703302;102.97360809833732
2016;1;13;11;107.26746813703302;102.97360809833732
2016;1;13;12;107.26746813703302;102.97360809833732
2016;1;13;13;107.26746813703302;102.97360809833732
2016;1;13;14;107.26746813703302;102.97360809833732
2016;1;13;15;107.26746813703302;102.97360809833732
2016;1;13;16;107.26746813703302;102.97360809833732
2016;1;13;17;107.26746813703302;102.97360809833732
2016;1;13;18;107.26746813703302;102.97360809833732
2016;1;13;19;107.26746813703302;102.97360809833732
2016;1;13;20;107.26746813703302;102.97360809833732
2016;1;13;21;107.26746813703302;102.97360809833732
2016;1;13;22;107.26746813703302;102.97360809833732
2016;1;13;23;107.26746813703302;102.97360809833732
2016;1;14;0;79.368379189414284;75.094455592313722
2016;1;14;1;79.368379189414284;75.094455592313722
2016;1;14;2;79.368379189414284;75.094455592313722
2016;1;14;3;79.368379189414284;75.094455592313722
2016;1;14;4;79.368379189414284;75.094455592313722
2016;1;14;5;79.368379189414284;75.094455592313722
2016;1;14;6;79.368379189414284;75.094455592313722
2016;1;14;7;79.368379189414284;75.094455592313722
2016;1;14;8;79.368379189414284;75.094455592313722
2016;1;14;9;79.368379189414284;75.094455592313722
2016;1;14;10;79.368379189414284;75.094455592313722
2016;1;14;11;79.368379189414284;75.094455592313722
2016;1;14;12;79.368379189414284;75.094455592313722
2016;1;14;13;79.368379189414284;75.094455592313722
2016;1;14;14;79.368379189414284;75.094455592313722
2016;1;14;15;79.368379189414284;75.094455592313722
2016;1;14;16;79.368379189414284;75.094455592313722
2016;1;14;17;79.368379189414284;75.094455592313722
2016;1;14;18;79.368379189414284;75.094455592313722
2016;1;14;19;79.368379189414284;75.094455592313722
2016;1;14;20;79.368379189414284;75.094455592313722
2016;1;14;21;79.368379189414284;75.094455592313722
2016;1;14;22;79.368379189414284;75.094455592313722
2016;1;14;23;79.368379189414284;75.094455592313722
2016;1;15;0;60.936144055539465;60.205354399030327
2016;1;15;1;60.936144055539465;60.205354399030327
2016;1;15;2;60.936144055539465;60.205354399030327
2016;1;15;3;60.936144055539465;60.205354399030327
2016;1;15;4;60.936144055539465;60.205354399030327
2016;1;15;5;60.936144055539465;60.205354399030327
2016;1;15;6;60.936144055539465;60.205354399030327
2016;1;15;7;60.936144055539465;60.205354399030327
2016;1;15;8;60.936144055539465;60.205354399030327
2016;1;15;9;60.936144055539465;60.205354399030327
2016;1;15;10;60.936144055539465;60.205354399030327
2016;1;15;11;60.936144055539465;60.205354399030327
2016;1;15;12;60.936144055539465;60.205354399030327
2016;1;15;13;60.936144055539465;60.205354399030327
2016;1;15;14;60.936144055539465;60.205354399030327
2016;1;15;15;60.936144055539465;60.205354399030327
2016;1;15;16;60.936144055539465;60.205354399030327
2016;1;15;17;60.936144055539465;60.205354399030327
2016;1;15;18;60.936144055539465;60.205354399030327
2016;1;15;19;60.936144055539465;60.205354399030327
2016;1;15;20;60.936144055539465;60.205354399030327
2016;1;15;21;60.936144055539465;60.205354399030327
2016;1;15;22;60.936144055539465;60.205354399030327
2016;1;15;23;60.936144055539465;60.205354399030327
2016;1;16;0;24.84769600665258;23.184135362811741
2016;1;16;1;24.84769600665258;23.184135362811741
2016;1;16;2;24.84769600665258;23.184135362811741
2016;1;16;3;24.84769600665258;23.184135362811741
2016;1;16;4;24.84769600665258;23.184135362811741
2016;1;16;5;24.84769600665258;23.184135362811741
2016;1;16;6;24.84769600665258;23.184135362811741
2016;1;16;7;24.84769600665258;23.184135362811741
2016;1;16;8;24.84769600665258;23.184135362811741
2016;1;16;9;24.84769600665258;23.184135362811741
2016;1;16;10;24.84769600665258;23.184135362811741
2016;1;16;11;24.84769600665258;23.184135362811741
2016;1;16;12;24.84769600665258;23.184135362811741
2016;1;16;13;24.84769600665258;23.184135362811741
2016;1;16;14;24.84769600665258;23.184135362811741
2016;1;16;15;24.84769600665258;23.184135362811741
2016;1;16;16;24.84769600665258;23.184135362811741
2016;1;16;17;24.84769600665258;23.184135362811741
2016;1;16;18;24.84769600665258;23.184135362811741
2016;1;16;19;24.84769600665258;23.184135362811741
2016;1;16;20;24.84769600665258;23.184135362811741
2016;1;16;21;24.84769600665258;23.184135362811741
2016;1;16;22;24.84769600665258;23.184135362811741
2016;1;16;23;24.84769600665258;23.184135362811741
2016;1;17;0;23.934775927834973;21.972956361401
2016;1;17;1;23.934775927834973;21.972956361401
2016;1;17;2;23.934775927834973;21.972956361401
2016;1;17;3;23.934775927834973;21.972956361401
2016;1;17;4;23.934775927834973;21.972956361401
2016;1;17;5;23.934775927834973;21.972956361401
2016;1;17;6;23.934775927834973;21.972956361401
2016;1;17;7;23.934775927834973;21.972956361401
2016;1;17;8;23.934775927834973;21.972956361401
2016;1;17;9;23.934775927834973;21.972956361401
2016;1;17;10;23.934775927834973;21.972956361401
2016;1;17;11;23.934775927834973;21.972956361401
2016;1;17;12;23.934775927834973;21.972956361401
2016;1;17;13;23.934775927834973;21.972956361401
2016;1;17;14;23.934775927834973;21.972956361401
2016;1;17;15;23.934775927834973;21.972956361401
2016;1;17;16;23.934775927834973;21.972956361401
2016;1;17;17;23.934775927834973;21.972956361401
2016;1;17;18;23.934775927834973;21.972956361401
2016;1;17;19;23.934775927834973;21.972956361401
2016;1;17;20;23.934775927834973;21.972956361401
2016;1;17;21;23.934775927834973;21.972956361401
2016;1;17;22;23.934775927834973;21.972956361401
2016;1;17;23;23.934775927834973;21.972956361401
2016;1;18;0;46.724156633040273;44.108608409559238
2016;1;18;1;46.724156633040273;44.108608409559238
2016;1;18;2;46.724156633040273;44.108608409559238
2016;1;18;3;46.724156633040273;44.108608409559238
2016;1;18;4;46.724156633040273;44.108608409559238
2016;1;18;5;46.724156633040273;44.108608409559238
2016;1;18;6;46.724156633040273;44.108608409559238
2016;1;18;7;46.724156633040273;44.108608409559238
2016;1;18;8;46.724156633040273;44.108608409559238
2016;1;18;9;46.724156633040273;44.108608409559238
2016;1;18;10;46.724156633040273;44.108608409559238
2016;1;18;11;46.724156633040273;44.108608409559238
2016;1;18;12;46.724156633040273;44.108608409559238
2016;1;18;13;46.724156633040273;44.108608409559238
2016;1;18;14;46.724156633040273;44.108608409559238
2016;1;18;15;46.724156633040273;44.108608409559238
2016;1;18;16;46.724156633040273;44.108608409559238
2016;1;18;17;46.724156633040273;44.108608409559238
2016;1;18;18;46.724156633040273;44.108608409559238
2016;1;18;19;46.724156633040273;44.108608409559238
2016;1;18;20;46.724156633040273;44.108608409559238
2016;1;18;21;46.724156633040273;44.108608409559238
2016;1;18;22;46.724156633040273;44.108608409559238
2016;1;18;23;46.724156633040273;44.108608409559238
2016;1;19;0;96.646479255174711;92.159733897355594
2016;1;19;1;96.646479255174711;92.159733897355594
2016;1;19;2;96.646479255174711;92.159733897355594
2016;1;19;3;96.646479255174711;92.159733897355594
2016;1;19;4;96.646479255174711;92.159733897355594
2016;1;19;5;96.646479255174711;92.159733897355594
2016;1;19;6;96.646479255174711;92.159733897355594
2016;1;19;7;96.646479255174711;92.159733897355594
2016;1;19;8;96.646479255174711;92.159733897355594
2016;1;19;9;96.646479255174711;92.159733897355594
2016;1;19;10;96.646479255174711;92.159733897355594
2016;1;19;11;96.646479255174711;92.159733897355594
2016;1;19;12;96.646479255174711;92.159733897355594
2016;1;19;13;96.646479255174711;92.159733897355594
2016;1;19;14;96.646479255174711;92.159733897355594
2016;1;19;15;96.646479255174711;92.159733897355594
2016;1;19;16;96.646479255174711;92.159733897355594
2016;1;19;17;96.646479255174711;92.159733897355594
2016;1;19;18;96.646479255174711;92.159733897355594
2016;1;19;19;96.646479255174711;92.159733897355594
2016;1;19;20;96.646479255174711;92.159733897355594
2016;1;19;21;96.646479255174711;92.159733897355594
2016;1;19;22;96.646479255174711;92.159733897355594
2016;1;19;23;96.646479255174711;92.159733897355594
2016;1;2;0;53.47748268942231;47.510575984379926
2016;1;2;1;53.47748268942231;47.510575984379926
2016;1;2;2;53.47748268942231;47.510575984379926
2016;1;2;3;53.47748268942231;47.510575984379926
2016;1;2;4;53.47748268942231;47.510575984379926
2016;1;2;5;53.47748268942231;47.510575984379926
2016;1;2;6;53.47748268942231;47.510575984379926
2016;1;2;7;53.47748268942231;47.510575984379926
2016;1;2;8;53.47748268942231;47.510575984379926
2016;1;2;9;53.47748268942231;47.510575984379926
2016;1;2;10;53.47748268942231;47.510575984379926
2016;1;2;11;53.47748268942231;47.510575984379926
2016;1;2;12;53.47748268942231;47.510575984379926
2016;1;2;13;53.47748268942231;47.510575984379926
2016;1;2;14;53.47748268942231;47.510575984379926
2016;1;2;15;53.47748268942231;47.510575984379926
2016;1;2;16;53.47748268942231;47.510575984379926
2016;1;2;17;53.47748268942231;47.510575984379926
2016;1;2;18;53.47748268942231;47.510575984379926
2016;1;2;19;53.47748268942231;47.510575984379926
2016;1;2;20;53.47748268942231;47.510575984379926
2016;1;2;21;53.47748268942231;47.510575984379926
2016;1;2;22;53.47748268942231;47.510575984379926
2016;1;2;23;53.47748268942231;47.510575984379926
2016;1;20;0;123.64074199495845;111.01871101871116
2016;1;20;1;123.64074199495845;111.01871101871116
2016;1;20;2;123.64074199495845;111.01871101871116
2016;1;20;3;123.64074199495845;111.01871101871116
2016;1;20;4;123.64074199495845;111.01871101871116
2016;1;20;5;123.64074199495845;111.01871101871116
2016;1;20;6;123.64074199495845;111.01871101871116
2016;1;20;7;123.64074199495845;111.01871101871116
2016;1;20;8;123.64074199495845;111.01871101871116
2016;1;20;9;123.64074199495845;111.01871101871116
2016;1;20;10;123.64074199495845;111.01871101871116
2016;1;20;11;123.64074199495845;111.01871101871116
2016;1;20;12;123.64074199495845;111.01871101871116
2016;1;20;13;123.64074199495845;111.01871101871116
2016;1;20;14;123.64074199495845;111.01871101871116
2016;1;20;15;123.64074199495845;111.01871101871116
2016;1;20;16;123.64074199495845;111.01871101871116
2016;1;20;17;123.64074199495845;111.01871101871116
2016;1;20;18;123.64074199495845;111.01871101871116
2016;1;20;19;123.64074199495845;111.01871101871116
2016;1;20;20;123.64074199495845;111.01871101871116
2016;1;20;21;123.64074199495845;111.01871101871116
2016;1;20;22;123.64074199495845;111.01871101871116
2016;1;20;23;123.64074199495845;111.01871101871116
2016;1;21;0;61.407473020119362;58.004808126819178
2016;1;21;1;61.407473020119362;58.004808126819178
2016;1;21;2;61.407473020119362;58.004808126819178
2016;1;21;3;61.407473020119362;58.004808126819178
2016;1;21;4;61.407473020119362;58.004808126819178
2016;1;21;5;61.407473020119362;58.004808126819178
2016;1;21;6;61.407473020119362;58.004808126819178
2016;1;21;7;61.407473020119362;58.004808126819178
2016;1;21;8;61.407473020119362;58.004808126819178
2016;1;21;9;61.407473020119362;58.004808126819178
2016;1;21;10;61.407473020119362;58.004808126819178
2016;1;21;11;61.407473020119362;58.004808126819178
2016;1;21;12;61.407473020119362;58.004808126819178
2016;1;21;13;61.407473020119362;58.004808126819178
2016;1;21;14;61.407473020119362;58.004808126819178
2016;1;21;15;61.407473020119362;58.004808126819178
2016;1;21;16;61.407473020119362;58.004808126819178
2016;1;21;17;61.407473020119362;58.004808126819178
2016;1;21;18;61.407473020119362;58.004808126819178
2016;1;21;19;61.407473020119362;58.004808126819178
2016;1;21;20;61.407473020119362;58.004808126819178
2016;1;21;21;61.407473020119362;58.004808126819178
2016;1;21;22;61.407473020119362;58.004808126819178
2016;1;21;23;61.407473020119362;58.004808126819178
2016;1;22;0;84.960231381055351;80.647493718479552
2016;1;22;1;84.960231381055351;80.647493718479552
2016;1;22;2;84.960231381055351;80.647493718479552
2016;1;22;3;84.960231381055351;80.647493718479552
2016;1;22;4;84.960231381055351;80.647493718479552
2016;1;22;5;84.960231381055351;80.647493718479552
2016;1;22;6;84.960231381055351;80.647493718479552
2016;1;22;7;84.960231381055351;80.647493718479552
2016;1;22;8;84.960231381055351;80.647493718479552
2016;1;22;9;84.960231381055351;80.647493718479552
2016;1;22;10;84.960231381055351;80.647493718479552
2016;1;22;11;84.960231381055351;80.647493718479552
2016;1;22;12;84.960231381055351;80.647493718479552
2016;1;22;13;84.960231381055351;80.647493718479552
2016;1;22;14;84.960231381055351;80.647493718479552
2016;1;22;15;84.960231381055351;80.647493718479552
2016;1;22;16;84.960231381055351;80.647493718479552
2016;1;22;17;84.960231381055351;80.647493718479552
2016;1;22;18;84.960231381055351;80.647493718479552
2016;1;22;19;84.960231381055351;80.647493718479552
2016;1;22;20;84.960231381055351;80.647493718479552
2016;1;22;21;84.960231381055351;80.647493718479552
2016;1;22;22;84.960231381055351;80.647493718479552
2016;1;22;23;84.960231381055351;80.647493718479552
2016;1;23;0;88.872819307601475;83.972018365206765
2016;1;23;1;88.872819307601475;83.972018365206765
2016;1;23;2;88.872819307601475;83.972018365206765
2016;1;23;3;88.872819307601475;83.972018365206765
2016;1;23;4;88.872819307601475;83.972018365206765
2016;1;23;5;88.872819307601475;83.972018365206765
2016;1;23;6;88.872819307601475;83.972018365206765
2016;1;23;7;88.872819307601475;83.972018365206765
2016;1;23;8;88.872819307601475;83.972018365206765
2016;1;23;9;88.872819307601475;83.972018365206765
2016;1;23;10;88.872819307601475;83.972018365206765
2016;1;23;11;88.872819307601475;83.972018365206765
2016;1;23;12;88.872819307601475;83.972018365206765
2016;1;23;13;88.872819307601475;83.972018365206765
2016;1;23;14;88.872819307601475;83.972018365206765
2016;1;23;15;88.872819307601475;83.972018365206765
2016;1;23;16;88.872819307601475;83.972018365206765
2016;1;23;17;88.872819307601475;83.972018365206765
2016;1;23;18;88.872819307601475;83.972018365206765
2016;1;23;19;88.872819307601475;83.972018365206765
