year;month;day;hour;NO2;O3;SO2;NO;PM10;PM25
2016;1;1;0;2.58229851353752;48.7163980267269;2.61047521627314;0.0162593187216862;10.2842951932303;9.2417398178668
2016;1;1;1;2.36907328256681;48.650640849246;2.4165472440009;0.00843481657908927;9.91013404672003;9.0096516913718
2016;1;1;2;2.15516047752788;48.5874700473232;1.7994644897787;0.00547647496847723;9.59489643292954;8.80688411086794
2016;1;1;3;1.90879413401328;48.7090829892622;1.55044162172472;0.00423386112510576;8.81368844574126;8.13892775397562
2016;1;1;4;1.7005776434376;48.8183573565948;1.31152764704883;0.00392303063648921;7.96899524146966;7.37187955124341
2016;1;1;5;1.56801733271697;49.3108274213228;1.10530348567055;0.0047800062043395;7.23557214143966;6.68420385707691
2016;1;1;6;1.50475552986743;48.8971387824222;0.938040099430442;0.00743470956124529;6.63728316752099;6.11440853504064
2016;1;1;7;1.84956575230703;47.9227360017376;0.852397808049738;0.0258627392327064;6.46738307352734;5.95115245971556
2016;1;1;8;2.68219120166771;46.5903085000718;0.839001012639634;0.0614515062900394;6.41885922192387;5.89702864317587
2016;1;1;9;3.40221052944795;52.7356007751223;1.16331068408921;0.274719305907325;6.04763217282311;5.55175327932034
2016;1;1;10;2.88156369383958;55.4138992470143;1.38683587305771;0.527526069377406;5.40899058876221;4.92563367870957
2016;1;1;11;1.89639827104962;61.7968112237577;2.04845608394467;0.43216133774912;4.49915482647611;3.99804145345684
2016;1;1;12;1.5514067617146;64.3027391333817;2.19426792854629;0.37925152766091;4.29883595387537;3.78239350951048
2016;1;1;13;1.58703069806269;65.1657217076718;2.07539337828032;0.315544314146926;4.58544091586077;4.05111322265839
2016;1;1;14;1.99817833832167;64.2605542111596;2.21834303665057;0.303851810711522;5.70205616057251;5.11543429837502
2016;1;1;15;2.52055206959071;62.803437117509;2.74007827382355;0.337993971962666;8.48467518466123;7.79766029523898
2016;1;1;16;3.37118096344823;59.7764682197521;3.34423725019191;0.341868885652666;12.1557635068825;11.3913136701171
2016;1;1;17;4.6967588093659;54.032302188034;3.12678834311107;0.271200767578799;13.7029392277555;12.958106587746
2016;1;1;18;5.3492460089668;48.2072266549949;1.73652766657654;0.0825324586312472;13.6498021774401;12.975808871829
2016;1;1;19;5.17713511746251;48.5562736685097;1.138716663998;0.0350932266413444;11.1545519487777;10.5994502064277
2016;1;1;20;4.42007255101245;50.5344566192889;0.772697711761819;0.0248609385883267;9.15555720126804;8.70185079548946
2016;1;1;21;3.39733616212645;51.5729894345895;0.525348934933419;0.0170488579959064;7.80126185873087;7.42271755171942
2016;1;1;22;2.6792789359555;51.9556238032237;0.40119644695615;0.0143472143627987;7.16214243468016;6.8128351848884
2016;1;1;23;2.25383085893229;51.669843514901;0.406717773700939;0.0138229288001343;6.81410927683146;6.44812692129904
2016;1;2;0;2.06663154827995;52.3255607731699;0.591666582707362;0.00999466987075225;6.60315979672532;6.17323658858027
2016;1;2;1;1.89572937759826;52.4596579509762;0.84677312110505;0.00425481029037471;6.45238484864308;5.96290439247582
2016;1;2;2;1.75204475953872;53.5833741821534;1.07376337868119;0.00296809185967543;6.24654372671785;5.73667735537242
2016;1;2;3;1.55694206199732;53.6628412817208;1.26877710216068;0.00264397083689662;5.82245229807654;5.36958078001248
2016;1;2;4;1.35716485850682;54.1359952421772;1.40224295398959;0.00295093253526725;5.19110621155505;4.83085527136495
2016;1;2;5;1.20700634530731;56.2019835115279;1.39948068783044;0.00346448882241769;4.54040893771435;4.20704049375331
2016;1;2;6;1.26156075176381;57.778507311923;1.18007888281233;0.00489220463634074;4.18446211014611;3.84112430751316
2016;1;2;7;1.68672978707271;57.9209498141608;1.17054081607528;0.0150172675278711;4.225493288601;3.85577259010006
2016;1;2;8;2.73317421382855;55.5893144849051;1.11235637289628;0.0348297866026497;4.95740248851462;4.47427073169138
2016;1;2;9;2.95502139859815;60.9726527045495;1.04748932532567;0.12612791110785;5.2560036323257;4.59826665633045
2016;1;2;10;2.5347140999664;59.3873998866457;0.813785033100475;0.212573879944939;5.16444798037696;4.40663860956647
2016;1;2;11;2.02284418236495;57.2157858869105;0.688973995226275;0.257461463481491;5.02271246816122;4.21937862427058
2016;1;2;12;1.77499464032778;56.9191342947306;0.597387671411864;0.268680374429972;4.84526330168933;4.00979383030631
2016;1;2;13;1.2656976592789;59.4466840198038;0.576338898358691;0.190303993123631;4.54725013199209;3.74135300518219
2016;1;2;14;1.24446130052709;59.8331126866469;0.299905092935034;0.1844801673573;3.54569129612514;3.10899084254856
2016;1;2;15;1.63532815927046;58.510188694072;0.291062479282775;0.216435504182275;3.57847929066679;3.32125926760796
2016;1;2;16;2.86922811832123;53.2665644925601;0.211640446951693;0.295232735460279;6.18746831548833;5.97097615795406
2016;1;2;17;4.3169971527851;48.6351758866022;0.0640450622895132;0.23662422464768;7.84527287578385;7.70892238932674
2016;1;2;18;5.55578909837553;42.9533209000965;0.026125507273976;0.0808640872467281;7.95293075839254;7.85972886774289
2016;1;2;19;5.95378473524758;42.805986311123;0.028795522793297;0.0339568681257464;6.80576306422154;6.74078393103628
2016;1;2;20;5.9665346808126;42.8364863580555;0.0690134373748809;0.0283070208482759;6.02009597727715;5.97767702004148
2016;1;2;21;5.78255947480615;44.2035670289442;0.282048504270359;0.0183283117313008;6.28361673804534;6.25431262335496
2016;1;2;22;4.75760370126957;47.4291894647649;0.733352658724624;0.0169599923517059;4.97888752448716;4.95972196645766
2016;1;2;23;3.49852778996747;54.0327214082481;0.719928185923625;0.014384043710212;2.45454390146449;2.44392861503684
